time,P
20050206:1707,0
20050206:1807,0
20050206:1907,0
20050206:2007,0
20050206:2107,0
20050206:2207,0
20050206:2307,0
20050207:0007,0
20050207:0107,0
20050207:0207,0
20050207:0307,0
20050207:0407,0
20050207:0507,0
20050207:0607,182.66
20050207:0707,424.44
20050207:0807,610.56
20050207:0907,747.19
20050207:1007,808.47
20050207:1107,833.49
20050207:1207,793.17
20050207:1307,703.21
20050207:1407,530.89
20050207:1507,309.75
20050207:1607,22.18
20050207:1707,0
20050207:1807,0
20050207:1907,0
20050207:2007,0
20050207:2107,0
20050207:2207,0
20050207:2307,0
20050208:0007,0
20050208:0107,0
20050208:0207,0
20050208:0307,0
20050208:0407,0
20050208:0507,0
20050208:0607,185.51
20050208:0707,413.05
20050208:0807,590.94
20050208:0907,739.15
20050208:1007,800.68
20050208:1107,791.34
20050208:1207,768
20050208:1307,665.27
20050208:1407,500.43
20050208:1507,302.93
20050208:1607,25.08
20050208:1707,0
20050208:1807,0
20050208:1907,0
20050208:2007,0
20050208:2107,0
20050208:2207,0
20050208:2307,0
20050209:0007,0
20050209:0107,0
20050209:0207,0
20050209:0307,0
20050209:0407,0
20050209:0507,0
20050209:0607,175.78
20050209:0707,428.51
20050209:0807,595.42
20050209:0907,726.69
20050209:1007,796.87
20050209:1107,812.22
20050209:1207,764.32
20050209:1307,669.85
20050209:1407,507.36
20050209:1507,293.48
20050209:1607,25.22
20050209:1707,0
20050209:1807,0
20050209:1907,0
20050209:2007,0
20050209:2107,0
20050209:2207,0
20050209:2307,0
20050210:0007,0
20050210:0107,0
20050210:0207,0
20050210:0307,0
20050210:0407,0
20050210:0507,0
20050210:0607,177.43
20050210:0707,432.01
20050210:0807,599.07
20050210:0907,733.44
20050210:1007,808.25
20050210:1107,822.78
20050210:1207,765.4
20050210:1307,671.45
20050210:1407,505.63
20050210:1507,307.28
20050210:1607,65.47
20050210:1707,0
20050210:1807,0
20050210:1907,0
20050210:2007,0
20050210:2107,0
20050210:2207,0
20050210:2307,0
20050211:0007,0
20050211:0107,0
20050211:0207,0
20050211:0307,0
20050211:0407,0
20050211:0507,0
20050211:0607,189.33
20050211:0707,429.8
20050211:0807,607.43
20050211:0907,734.79
20050211:1007,814.54
20050211:1107,819.33
20050211:1207,771.42
20050211:1307,668.12
20050211:1407,506.4
20050211:1507,307.41
20050211:1607,74.43
20050211:1707,0
20050211:1807,0
20050211:1907,0
20050211:2007,0
20050211:2107,0
20050211:2207,0
20050211:2307,0
20050212:0007,0
20050212:0107,0
20050212:0207,0
20050212:0307,0
20050212:0407,0
20050212:0507,0
20050212:0607,190.44
20050212:0707,422.02
20050212:0807,610.19
20050212:0907,747.96
20050212:1007,816.06
20050212:1107,837.97
20050212:1207,772.12
20050212:1307,681.9
20050212:1407,525
20050212:1507,311.82
20050212:1607,66.34
20050212:1707,0
20050212:1807,0
20050212:1907,0
20050212:2007,0
20050212:2107,0
20050212:2207,0
20050212:2307,0
20050213:0007,0
20050213:0107,0
20050213:0207,0
20050213:0307,0
20050213:0407,0
20050213:0507,0
20050213:0607,63.81
20050213:0707,432.31
20050213:0807,625.52
20050213:0907,765.74
20050213:1007,840.53
20050213:1107,838.5
20050213:1207,799.63
20050213:1307,696.98
20050213:1407,530.53
20050213:1507,315.74
20050213:1607,67.2
20050213:1707,0
20050213:1807,0
20050213:1907,0
20050213:2007,0
20050213:2107,0
20050213:2207,0
20050213:2307,0
20050214:0007,0
20050214:0107,0
20050214:0207,0
20050214:0307,0
20050214:0407,0
20050214:0507,0
20050214:0607,187.8
20050214:0707,433.32
20050214:0807,620.69
20050214:0907,731.91
20050214:1007,802.72
20050214:1107,823.44
20050214:1207,773.58
20050214:1307,676
20050214:1407,522.3
20050214:1507,312.15
20050214:1607,66.72
20050214:1707,0
20050214:1807,0
20050214:1907,0
20050214:2007,0
20050214:2107,0
20050214:2207,0
20050214:2307,0
20050215:0007,0
20050215:0107,0
20050215:0207,0
20050215:0307,0
20050215:0407,0
20050215:0507,0
20050215:0607,199.24
20050215:0707,440.5
20050215:0807,623.5
20050215:0907,748.96
20050215:1007,818.81
20050215:1107,816.77
20050215:1207,771.76
20050215:1307,683.81
20050215:1407,527.16
20050215:1507,320.65
20050215:1607,73.7
20050215:1707,0
20050215:1807,0
20050215:1907,0
20050215:2007,0
20050215:2107,0
20050215:2207,0
20050215:2307,0
20050216:0007,0
20050216:0107,0
20050216:0207,0
20050216:0307,0
20050216:0407,0
20050216:0507,0
20050216:0607,199.02
20050216:0707,427.14
20050216:0807,605.08
20050216:0907,722.82
20050216:1007,799.2
20050216:1107,797.1
20050216:1207,745.14
20050216:1307,657.82
20050216:1407,512.56
20050216:1507,299.06
20050216:1607,72.27
20050216:1707,0
20050216:1807,0
20050216:1907,0
20050216:2007,0
20050216:2107,0
20050216:2207,0
20050216:2307,0
20050217:0007,0
20050217:0107,0
20050217:0207,0
20050217:0307,0
20050217:0407,0
20050217:0507,0
