time,Value
20050209:1107,837.86
20050209:1207,787.84
20050209:1307,682.85
20050209:1407,529.22
20050209:1507,316.98
20050209:1607,82.97
20050209:1707,0
20050209:1807,0
20050209:1907,0
20050209:2007,0
20050209:2107,0
20050209:2207,0
20050209:2307,0
20050210:0007,0
20050210:0107,0
20050210:0207,0
20050210:0307,0
20050210:0407,0
20050210:0507,0
20050210:0607,185.16
20050210:0707,417.43
20050210:0807,617.38
20050210:0907,744.37
20050210:1007,803.14
20050210:1107,820.88
20050210:1207,785.16
20050210:1307,672.57
20050210:1407,531.83
20050210:1507,327.58
20050210:1607,83.72
20050210:1707,0
20050210:1807,0
20050210:1907,0
20050210:2007,0
20050210:2107,0
20050210:2207,0
20050210:2307,0
20050211:0007,0
20050211:0107,0
20050211:0207,0
20050211:0307,0
20050211:0407,0
20050211:0507,0
20050211:0607,184.08
20050211:0707,423.76
20050211:0807,596.43
20050211:0907,734.02
20050211:1007,810.79
20050211:1107,809.36
20050211:1207,774.47
20050211:1307,670.45
20050211:1407,519.49
20050211:1507,317.18
20050211:1607,83.18
20050211:1707,0
20050211:1807,0
20050211:1907,0
20050211:2007,0
20050211:2107,0
20050211:2207,0
20050211:2307,0
20050212:0007,0
20050212:0107,0
20050212:0207,0
20050212:0307,0
20050212:0407,0
20050212:0507,0
20050212:0607,177.16
20050212:0707,424.85
20050212:0807,610.96
20050212:0907,738.42
20050212:1007,817.43
20050212:1107,835.9
20050212:1207,795.47
20050212:1307,690.77
20050212:1407,536.02
20050212:1507,343.18
20050212:1607,83.88
20050212:1707,0
20050212:1807,0
20050212:1907,0
20050212:2007,0
20050212:2107,0
20050212:2207,0
20050212:2307,0
20050213:0007,0
20050213:0107,0
20050213:0207,0
20050213:0307,0
20050213:0407,0
20050213:0507,0
20050213:0607,195.67
20050213:0707,416.91
20050213:0807,603.43
20050213:0907,755.59
20050213:1007,830.21
20050213:1107,848.29
20050213:1207,785.5
20050213:1307,699.67
20050213:1407,537.8
20050213:1507,323.08
20050213:1607,74.54
20050213:1707,0
20050213:1807,0
20050213:1907,0
20050213:2007,0
20050213:2107,0
20050213:2207,0
20050213:2307,0
20050214:0007,0
20050214:0107,0
20050214:0207,0
20050214:0307,0
20050214:0407,0
20050214:0507,0
20050214:0607,182.68
20050214:0707,420.88
20050214:0807,596.19
20050214:0907,737.05
20050214:1007,810.48
20050214:1107,812.68
20050214:1207,772.79
20050214:1307,678.04
20050214:1407,531.62
20050214:1507,331.02
20050214:1607,83.57
20050214:1707,0
20050214:1807,0
20050214:1907,0
20050214:2007,0
20050214:2107,0
20050214:2207,0
20050214:2307,0
20050215:0007,0
20050215:0107,0
20050215:0207,0
20050215:0307,0
20050215:0407,0
20050215:0507,0
20050215:0607,173.81
20050215:0707,419.32
20050215:0807,605.43
20050215:0907,724.27
20050215:1007,788.9
20050215:1107,810.96
20050215:1207,764.88
20050215:1307,667.28
20050215:1407,519.31
20050215:1507,319.26
20050215:1607,82.47
20050215:1707,0
20050215:1807,0
20050215:1907,0
20050215:2007,0
20050215:2107,0
20050215:2207,0
20050215:2307,0
20050216:0007,0
20050216:0107,0
20050216:0207,0
20050216:0307,0
20050216:0407,0
20050216:0507,0
20050216:0607,182.87
20050216:0707,416.69
20050216:0807,599.95
20050216:0907,719.43
20050216:1007,778.74
20050216:1107,787.02
20050216:1207,749.95
20050216:1307,660.65
20050216:1407,515.31
20050216:1507,317.11
20050216:1607,81.51
20050216:1707,0
20050216:1807,0
20050216:1907,0
20050216:2007,0
20050216:2107,0
20050216:2207,0
20050216:2307,0
20050217:0007,0
20050217:0107,0
20050217:0207,0
20050217:0307,0
20050217:0407,0
20050217:0507,0
20050217:0607,183.82
20050217:0707,418.13
20050217:0807,599.39
20050217:0907,712.68
20050217:1007,789.19
20050217:1107,797.53
20050217:1207,751.37
20050217:1307,659.14
20050217:1407,513.51
20050217:1507,317.31
20050217:1607,73.59
20050217:1707,0
20050217:1807,0
20050217:1907,0
20050217:2007,0
20050217:2107,0
20050217:2207,0
20050217:2307,0
20050218:0007,0
20050218:0107,0
20050218:0207,0
20050218:0307,0
20050218:0407,0
20050218:0507,0
20050218:0607,166.36
20050218:0707,415.25
20050218:0807,595.29
20050218:0907,707.63
20050218:1007,772.06
20050218:1107,789.92
20050218:1207,757.37
20050218:1307,658.51
20050218:1407,512.8
20050218:1507,307.6
20050218:1607,80.05
20050218:1707,0
20050218:1807,0
20050218:1907,0
20050218:2007,0
20050218:2107,0
20050218:2207,0
20050218:2307,0
20050219:0007,0
20050219:0107,0
20050219:0207,0
20050219:0307,0
20050219:0407,0
20050219:0507,0
20050219:0607,194.3
20050219:0707,418.85
20050219:0807,589.27
20050219:0907,723.05
20050219:1007,799.59
20050219:1107,799.83
20050219:1207,765.96
20050219:1307,670.69
20050219:1407,523.05
20050219:1507,310.35
20050219:1607,72.22
20050219:1707,0
20050219:1807,0
