time,P
20050208:0907,772.52
20050208:1007,817.09
20050208:1107,830.06
20050208:1207,769.24
20050208:1307,652.23
20050208:1407,495.85
20050208:1507,278.97
20050208:1607,0
20050208:1707,0
20050208:1807,0
20050208:1907,0
20050208:2007,0
20050208:2107,0
20050208:2207,0
20050208:2307,0
20050209:0007,0
20050209:0107,0
20050209:0207,0
20050209:0307,0
20050209:0407,0
20050209:0507,0
20050209:0607,226.97
20050209:0707,445.9
20050209:0807,640.56
20050209:0907,769.98
20050209:1007,833.95
20050209:1107,837.02
20050209:1207,784.62
20050209:1307,661.02
20050209:1407,502.86
20050209:1507,283.2
20050209:1607,0
20050209:1707,0
20050209:1807,0
20050209:1907,0
20050209:2007,0
20050209:2107,0
20050209:2207,0
20050209:2307,0
20050210:0007,0
20050210:0107,0
20050210:0207,0
20050210:0307,0
20050210:0407,0
20050210:0507,0
20050210:0607,229.22
20050210:0707,460.53
20050210:0807,636.97
20050210:0907,773.51
20050210:1007,832.28
20050210:1107,835.26
20050210:1207,783.71
20050210:1307,670.22
20050210:1407,490.13
20050210:1507,284.12
20050210:1607,0
20050210:1707,0
20050210:1807,0
20050210:1907,0
20050210:2007,0
20050210:2107,0
20050210:2207,0
20050210:2307,0
20050211:0007,0
20050211:0107,0
20050211:0207,0
20050211:0307,0
20050211:0407,0
20050211:0507,0
20050211:0607,229.8
20050211:0707,469.6
20050211:0807,644.48
20050211:0907,771.42
20050211:1007,825.05
20050211:1107,826.58
20050211:1207,775.06
20050211:1307,667.55
20050211:1407,498.69
20050211:1507,270.82
20050211:1607,0
20050211:1707,0
20050211:1807,0
20050211:1907,0
20050211:2007,0
20050211:2107,0
20050211:2207,0
20050211:2307,0
20050212:0007,0
20050212:0107,0
20050212:0207,0
20050212:0307,0
20050212:0407,0
20050212:0507,0
20050212:0607,231.85
20050212:0707,466.2
20050212:0807,658.71
20050212:0907,787.91
20050212:1007,846.45
20050212:1107,852.08
20050212:1207,814.85
20050212:1307,701.85
20050212:1407,518.14
20050212:1507,281.17
20050212:1607,14.76
20050212:1707,0
20050212:1807,0
20050212:1907,0
20050212:2007,0
20050212:2107,0
20050212:2207,0
20050212:2307,0
20050213:0007,0
20050213:0107,0
20050213:0207,0
20050213:0307,0
20050213:0407,0
20050213:0507,0
20050213:0607,229.34
20050213:0707,465.23
20050213:0807,654.03
20050213:0907,786.25
20050213:1007,866
20050213:1107,856.78
20050213:1207,797.07
20050213:1307,697.72
20050213:1407,510.48
20050213:1507,296.47
20050213:1607,13.65
20050213:1707,0
20050213:1807,0
20050213:1907,0
20050213:2007,0
20050213:2107,0
20050213:2207,0
20050213:2307,0
20050214:0007,0
20050214:0107,0
20050214:0207,0
20050214:0307,0
20050214:0407,0
20050214:0507,0
20050214:0607,230.61
20050214:0707,488.78
20050214:0807,647.59
20050214:0907,788.45
20050214:1007,841.74
20050214:1107,842.07
20050214:1207,788.82
20050214:1307,688.57
20050214:1407,505.79
20050214:1507,296.47
20050214:1607,15.53
20050214:1707,0
20050214:1807,0
20050214:1907,0
20050214:2007,0
20050214:2107,0
20050214:2207,0
20050214:2307,0
20050215:0007,0
20050215:0107,0
20050215:0207,0
20050215:0307,0
20050215:0407,0
20050215:0507,0
20050215:0607,230.46
20050215:0707,473.08
20050215:0807,659.16
20050215:0907,779.9
20050215:1007,829.45
20050215:1107,828.65
20050215:1207,766.71
20050215:1307,664.04
20050215:1407,509.16
20050215:1507,290.91
20050215:1607,15.23
20050215:1707,0
20050215:1807,0
20050215:1907,0
20050215:2007,0
20050215:2107,0
20050215:2207,0
20050215:2307,0
20050216:0007,0
20050216:0107,0
20050216:0207,0
20050216:0307,0
20050216:0407,0
20050216:0507,6.02
20050216:0607,229.84
20050216:0707,464.46
20050216:0807,646.16
20050216:0907,754.25
20050216:1007,821.75
20050216:1107,827.22
20050216:1207,775.25
20050216:1307,676.46
20050216:1407,491.06
20050216:1507,288.19
20050216:1607,14.96
20050216:1707,0
20050216:1807,0
20050216:1907,0
20050216:2007,0
20050216:2107,0
20050216:2207,0
20050216:2307,0
20050217:0007,0
20050217:0107,0
20050217:0207,0
20050217:0307,0
20050217:0407,0
20050217:0507,6.61
20050217:0607,228.51
20050217:0707,465.41
20050217:0807,636.14
20050217:0907,752.94
20050217:1007,807.81
20050217:1107,818.27
20050217:1207,767
20050217:1307,666.55
20050217:1407,503.53
20050217:1507,286.68
20050217:1607,15.45
20050217:1707,0
20050217:1807,0
20050217:1907,0
20050217:2007,0
20050217:2107,0
20050217:2207,0
20050217:2307,0
20050218:0007,0
20050218:0107,0
20050218:0207,0
20050218:0307,0
20050218:0407,0
20050218:0507,7.84
20050218:0607,240.06
20050218:0707,458.48
20050218:0807,635.45
20050218:0907,748.77
20050218:1007,799.67
20050218:1107,811.69
20050218:1207,759.18
20050218:1307,669.9
20050218:1407,498.99
20050218:1507,286.68
20050218:1607,15.32
20050218:1707,0
20050218:1807,0
20050218:1907,0
20050218:2007,0
20050218:2107,0
20050218:2207,0
20050218:2307,0
20050219:0007,0
20050219:0107,0
20050219:0207,0
20050219:0307,0
20050219:0407,0
20050219:0507,9.15
20050219:0607,230.61
20050219:0707,464.75
20050219:0807,632.51
20050219:0907,763.44
20050219:1007,817.65
20050219:1107,821.91
20050219:1207,776.81
20050219:1307,657.48
20050219:1407,494.42
20050219:1507,287.88
20050219:1607,15.74
20050219:1707,0
20050219:1807,0
20050219:1907,0
20050219:2007,0
20050219:2107,0
20050219:2207,0
20050219:2307,0
20050220:0007,0
20050220:0107,0
20050220:0207,0
20050220:0307,0
20050220:0407,0
20050220:0507,10.43
20050220:0607,223.92
20050220:0707,443.14
20050220:0807,625.38
20050220:0907,739.54
20050220:1007,803.28
20050220:1107,804.81
20050220:1207,746.12
20050220:1307,627.25
20050220:1407,478.58
20050220:1507,276.17
20050220:1607,15.7
20050220:1707,0
20050220:1807,0
20050220:1907,0
20050220:2007,0
20050220:2107,0
20050220:2207,0
20050220:2307,0
20050221:0007,0
20050221:0107,0
20050221:0207,0
20050221:0307,0
20050221:0407,0
20050221:0507,11.81
20050221:0607,226.22
20050221:0707,456.24
20050221:0807,626.52
20050221:0907,745.35
20050221:1007,794.56
20050221:1107,804.95
20050221:1207,746.12
20050221:1307,643.41
20050221:1407,478.59
20050221:1507,277.03
20050221:1607,16.3
20050221:1707,0
20050221:1807,0
20050221:1907,0
20050221:2007,0
20050221:2107,0
20050221:2207,0
20050221:2307,0
20050222:0007,0
20050222:0107,0
20050222:0207,0
20050222:0307,0
20050222:0407,0
20050222:0507,9.3
20050222:0607,228.26
20050222:0707,459.16
20050222:0807,626.34
20050222:0907,745.86
20050222:1007,804.8
20050222:1107,815.33
20050222:1207,760.19
20050222:1307,655.68
20050222:1407,490.9
20050222:1507,276.63
