time,P
20050202:1607,0
20050202:1707,0
20050202:1807,0
20050202:1907,0
20050202:2007,0
20050202:2107,0
20050202:2207,0
20050202:2307,0
20050203:0007,0
20050203:0107,0
20050203:0207,0
20050203:0307,0
20050203:0407,0
20050203:0507,0
20050203:0607,10.36
20050203:0707,278.87
20050203:0807,364.11
20050203:0907,452.3
20050203:1007,654.53
20050203:1107,755.68
20050203:1207,736.61
20050203:1307,620.74
20050203:1407,425.08
20050203:1507,261.81
20050203:1607,0
20050203:1707,0
20050203:1807,0
20050203:1907,0
20050203:2007,0
20050203:2107,0
20050203:2207,0
20050203:2307,0
20050204:0007,0
20050204:0107,0
20050204:0207,0
20050204:0307,0
20050204:0407,0
20050204:0507,0
20050204:0607,215.63
20050204:0707,441.98
20050204:0807,596.06
20050204:0907,764.32
20050204:1007,830.65
20050204:1107,834.87
20050204:1207,778.82
20050204:1307,677.06
20050204:1407,494.21
20050204:1507,280.45
20050204:1607,0
20050204:1707,0
20050204:1807,0
20050204:1907,0
20050204:2007,0
20050204:2107,0
20050204:2207,0
20050204:2307,0
20050205:0007,0
20050205:0107,0
20050205:0207,0
20050205:0307,0
20050205:0407,0
20050205:0507,0
20050205:0607,220.8
20050205:0707,456.66
20050205:0807,643.3
20050205:0907,755.62
20050205:1007,824.06
20050205:1107,821.28
20050205:1207,759.38
20050205:1307,668.16
20050205:1407,484.03
20050205:1507,283.36
20050205:1607,0
20050205:1707,0
20050205:1807,0
20050205:1907,0
20050205:2007,0
20050205:2107,0
20050205:2207,0
20050205:2307,0
20050206:0007,0
20050206:0107,0
20050206:0207,0
20050206:0307,0
20050206:0407,0
20050206:0507,0
20050206:0607,219.51
20050206:0707,452.58
20050206:0807,635.27
20050206:0907,756.98
20050206:1007,828.62
20050206:1107,835.8
20050206:1207,782.95
20050206:1307,670.93
20050206:1407,505.32
20050206:1507,282.89
20050206:1607,0
20050206:1707,0
20050206:1807,0
20050206:1907,0
20050206:2007,0
20050206:2107,0
20050206:2207,0
20050206:2307,0
20050207:0007,0
20050207:0107,0
20050207:0207,0
20050207:0307,0
20050207:0407,0
20050207:0507,0
20050207:0607,220.71
20050207:0707,455.37
20050207:0807,635.84
20050207:0907,760.24
20050207:1007,823.48
20050207:1107,821.89
20050207:1207,770.11
20050207:1307,661.57
20050207:1407,496.61
20050207:1507,282.6
20050207:1607,0
20050207:1707,0
20050207:1807,0
20050207:1907,0
20050207:2007,0
20050207:2107,0
20050207:2207,0
20050207:2307,0
20050208:0007,0
20050208:0107,0
20050208:0207,0
20050208:0307,0
20050208:0407,0
20050208:0507,0
20050208:0607,211.52
20050208:0707,455.72
20050208:0807,619.61
20050208:0907,750.81
20050208:1007,814.21
20050208:1107,816.78
20050208:1207,761.34
20050208:1307,655.23
20050208:1407,499.34
20050208:1507,273.4
20050208:1607,0
20050208:1707,0
20050208:1807,0
20050208:1907,0
20050208:2007,0
20050208:2107,0
20050208:2207,0
20050208:2307,0
20050209:0007,0
20050209:0107,0
20050209:0207,0
20050209:0307,0
20050209:0407,0
20050209:0507,0
20050209:0607,215.04
20050209:0707,449.68
20050209:0807,632.42
20050209:0907,760.8
20050209:1007,824.97
20050209:1107,823.36
20050209:1207,766.73
20050209:1307,663.66
20050209:1407,501.78
20050209:1507,277.46
20050209:1607,0
20050209:1707,0
20050209:1807,0
20050209:1907,0
20050209:2007,0
20050209:2107,0
20050209:2207,0
20050209:2307,0
20050210:0007,0
20050210:0107,0
20050210:0207,0
20050210:0307,0
20050210:0407,0
20050210:0507,0
20050210:0607,225.84
20050210:0707,449.84
20050210:0807,635.97
20050210:0907,758.41
20050210:1007,821.56
20050210:1107,828.83
20050210:1207,763.27
20050210:1307,669.25
20050210:1407,493.77
20050210:1507,279.05
20050210:1607,13.22
20050210:1707,0
20050210:1807,0
20050210:1907,0
20050210:2007,0
20050210:2107,0
20050210:2207,0
20050210:2307,0
20050211:0007,0
20050211:0107,0
20050211:0207,0
20050211:0307,0
20050211:0407,0
20050211:0507,0
20050211:0607,226.23
20050211:0707,449.87
20050211:0807,638.78
20050211:0907,752.76
20050211:1007,825.03
20050211:1107,812.98
20050211:1207,770.67
20050211:1307,659.67
20050211:1407,489.97
20050211:1507,289.39
20050211:1607,13.09
20050211:1707,0
20050211:1807,0
20050211:1907,0
20050211:2007,0
20050211:2107,0
20050211:2207,0
20050211:2307,0
20050212:0007,0
20050212:0107,0
20050212:0207,0
20050212:0307,0
20050212:0407,0
20050212:0507,0
20050212:0607,228.03
20050212:0707,462.48
20050212:0807,637.75
20050212:0907,762.85
20050212:1007,834.38
20050212:1107,844.07
20050212:1207,797.73
20050212:1307,696.04
20050212:1407,504.97
20050212:1507,285.55
20050212:1607,13.36
20050212:1707,0
20050212:1807,0
20050212:1907,0
20050212:2007,0
20050212:2107,0
20050212:2207,0
20050212:2307,0
20050213:0007,0
20050213:0107,0
20050213:0207,0
20050213:0307,0
20050213:0407,0
20050213:0507,0
20050213:0607,205.28
20050213:0707,469.1
20050213:0807,659.86
20050213:0907,754.4
20050213:1007,851.52
20050213:1107,846.19
20050213:1207,786.25
20050213:1307,680.67
20050213:1407,508.75
20050213:1507,290.32
20050213:1607,14.21
20050213:1707,0
20050213:1807,0
20050213:1907,0
20050213:2007,0
20050213:2107,0
20050213:2207,0
20050213:2307,0
20050214:0007,0
20050214:0107,0
20050214:0207,0
20050214:0307,0
20050214:0407,0
20050214:0507,0
20050214:0607,226.87
20050214:0707,466.22
20050214:0807,650.58
20050214:0907,780.99
20050214:1007,832.61
20050214:1107,836.34
20050214:1207,759.75
20050214:1307,660.8
20050214:1407,515.42
20050214:1507,290.14
20050214:1607,14.1
20050214:1707,0
20050214:1807,0
20050214:1907,0
20050214:2007,0
20050214:2107,0
20050214:2207,0
20050214:2307,0
20050215:0007,0
20050215:0107,0
20050215:0207,0
20050215:0307,0
20050215:0407,0
20050215:0507,5.45
20050215:0607,227.83
20050215:0707,452.53
20050215:0807,641.54
20050215:0907,759.67
20050215:1007,817.94
20050215:1107,816.93
20050215:1207,759.45
20050215:1307,661.88
20050215:1407,498.56
20050215:1507,285.78
20050215:1607,15.8
20050215:1707,0
20050215:1807,0
20050215:1907,0
20050215:2007,0
20050215:2107,0
20050215:2207,0
20050215:2307,0
20050216:0007,0
20050216:0107,0
20050216:0207,0
20050216:0307,0
20050216:0407,0
