time,P
20050203:1107,829.76
20050203:1207,706.86
20050203:1307,447.04
20050203:1407,296.06
20050203:1507,155.5
20050203:1607,0
20050203:1707,0
20050203:1807,0
20050203:1907,0
20050203:2007,0
20050203:2107,0
20050203:2207,0
20050203:2307,0
20050204:0007,0
20050204:0107,0
20050204:0207,0
20050204:0307,0
20050204:0407,0
20050204:0507,10.94
20050204:0607,227.72
20050204:0707,459.26
20050204:0807,644.14
20050204:0907,752.1
20050204:1007,814.43
20050204:1107,815.73
20050204:1207,776.66
20050204:1307,668.44
20050204:1407,481.08
20050204:1507,281.1
20050204:1607,0
20050204:1707,0
20050204:1807,0
20050204:1907,0
20050204:2007,0
20050204:2107,0
20050204:2207,0
20050204:2307,0
20050205:0007,0
20050205:0107,0
20050205:0207,0
20050205:0307,0
20050205:0407,0
20050205:0507,8.24
20050205:0607,230.58
20050205:0707,464.55
20050205:0807,641.17
20050205:0907,757.47
20050205:1007,827.26
20050205:1107,817.72
20050205:1207,777
20050205:1307,659.83
20050205:1407,480.83
20050205:1507,284.04
20050205:1607,0
20050205:1707,0
20050205:1807,0
20050205:1907,0
20050205:2007,0
20050205:2107,0
20050205:2207,0
20050205:2307,0
20050206:0007,0
20050206:0107,0
20050206:0207,0
20050206:0307,0
20050206:0407,0
20050206:0507,8.96
20050206:0607,229.27
20050206:0707,460.07
20050206:0807,640.24
20050206:0907,753.42
20050206:1007,812.68
20050206:1107,812.78
20050206:1207,767.8
20050206:1307,662.64
20050206:1407,479.03
20050206:1507,282.16
20050206:1607,0
20050206:1707,0
20050206:1807,0
20050206:1907,0
20050206:2007,0
20050206:2107,0
20050206:2207,0
20050206:2307,0
20050207:0007,0
20050207:0107,0
20050207:0207,0
20050207:0307,0
20050207:0407,0
20050207:0507,9.45
20050207:0607,230.41
20050207:0707,471.29
20050207:0807,645.99
20050207:0907,761.68
20050207:1007,812.56
20050207:1107,812.98
20050207:1207,731.32
20050207:1307,645.47
20050207:1407,457.08
20050207:1507,218.18
20050207:1607,0
20050207:1707,0
20050207:1807,0
20050207:1907,0
20050207:2007,0
20050207:2107,0
20050207:2207,0
20050207:2307,0
20050208:0007,0
20050208:0107,0
20050208:0207,0
20050208:0307,0
20050208:0407,0
20050208:0507,6.41
20050208:0607,231.45
20050208:0707,463.14
20050208:0807,633.28
20050208:0907,752
20050208:1007,812.04
20050208:1107,812.6
20050208:1207,755.22
20050208:1307,646.87
20050208:1407,485.68
20050208:1507,261.89
20050208:1607,0
20050208:1707,0
20050208:1807,0
20050208:1907,0
20050208:2007,0
20050208:2107,0
20050208:2207,0
20050208:2307,0
20050209:0007,0
20050209:0107,0
20050209:0207,0
20050209:0307,0
20050209:0407,0
20050209:0507,11.01
20050209:0607,224.02
20050209:0707,456.46
20050209:0807,630.15
20050209:0907,748.29
20050209:1007,807.99
20050209:1107,823.11
20050209:1207,769.28
20050209:1307,655.43
20050209:1407,478.72
20050209:1507,266.05
20050209:1607,0
20050209:1707,0
20050209:1807,0
20050209:1907,0
20050209:2007,0
20050209:2107,0
20050209:2207,0
20050209:2307,0
20050210:0007,0
20050210:0107,0
20050210:0207,0
20050210:0307,0
20050210:0407,0
20050210:0507,11.77
20050210:0607,235.37
20050210:0707,457.56
20050210:0807,641.39
20050210:0907,756.38
20050210:1007,815.61
20050210:1107,820.77
20050210:1207,770.79
20050210:1307,645.16
20050210:1407,477.9
20050210:1507,277.72
20050210:1607,0
20050210:1707,0
20050210:1807,0
20050210:1907,0
20050210:2007,0
20050210:2107,0
20050210:2207,0
20050210:2307,0
20050211:0007,0
20050211:0107,0
20050211:0207,0
20050211:0307,0
20050211:0407,0
20050211:0507,12.25
20050211:0607,235.73
20050211:0707,466.37
20050211:0807,636.68
20050211:0907,763.37
20050211:1007,818.44
20050211:1107,813.5
20050211:1207,755.48
20050211:1307,651.32
20050211:1407,476.56
20050211:1507,277.53
20050211:1607,0
20050211:1707,0
20050211:1807,0
20050211:1907,0
20050211:2007,0
20050211:2107,0
20050211:2207,0
20050211:2307,0
20050212:0007,0
20050212:0107,0
20050212:0207,0
20050212:0307,0
20050212:0407,0
20050212:0507,13.66
20050212:0607,237.74
20050212:0707,470.35
20050212:0807,644.27
20050212:0907,773.73
20050212:1007,827.17
20050212:1107,830.19
20050212:1207,781.6
20050212:1307,679.95
20050212:1407,501.99
20050212:1507,273.65
20050212:1607,0
20050212:1707,0
20050212:1807,0
20050212:1907,0
20050212:2007,0
20050212:2107,0
20050212:2207,0
20050212:2307,0
20050213:0007,0
20050213:0107,0
20050213:0207,0
20050213:0307,0
20050213:0407,0
20050213:0507,10.65
20050213:0607,235.87
20050213:0707,474.09
20050213:0807,653.31
20050213:0907,775.33
20050213:1007,834.91
20050213:1107,842.17
20050213:1207,780.16
20050213:1307,684.5
20050213:1407,505.68
20050213:1507,290.28
20050213:1607,0
20050213:1707,0
20050213:1807,0
20050213:1907,0
20050213:2007,0
20050213:2107,0
20050213:2207,0
20050213:2307,0
20050214:0007,0
20050214:0107,0
20050214:0207,0
20050214:0307,0
20050214:0407,0
20050214:0507,16.34
20050214:0607,236.72
20050214:0707,461.49
20050214:0807,644.26
20050214:0907,777.25
20050214:1007,825.68
20050214:1107,817.88
20050214:1207,774.72
20050214:1307,676.01
20050214:1407,480.5
20050214:1507,263.04
20050214:1607,0
20050214:1707,0
20050214:1807,0
20050214:1907,0
20050214:2007,0
20050214:2107,0
20050214:2207,0
20050214:2307,0
20050215:0007,0
20050215:0107,0
20050215:0207,0
20050215:0307,0
20050215:0407,0
20050215:0507,17.6
20050215:0607,245.79
20050215:0707,477.43
20050215:0807,639.24
20050215:0907,756.84
20050215:1007,812.92
20050215:1107,814.58
20050215:1207,756.57
20050215:1307,644.42
20050215:1407,483.54
20050215:1507,273.6
20050215:1607,0
20050215:1707,0
20050215:1807,0
20050215:1907,0
20050215:2007,0
20050215:2107,0
20050215:2207,0
20050215:2307,0
20050216:0007,0
20050216:0107,0
20050216:0207,0
20050216:0307,0
20050216:0407,0
20050216:0507,13.87
20050216:0607,244.16
20050216:0707,471.01
20050216:0807,636.53
20050216:0907,749.33
20050216:1007,805.51
20050216:1107,804.1
20050216:1207,747.76
20050216:1307,640.36
20050216:1407,492.44
20050216:1507,269.58
20050216:1607,0
20050216:1707,0
20050216:1807,0
20050216:1907,0
20050216:2007,0
20050216:2107,0
20050216:2207,0
20050216:2307,0
20050217:0007,0
20050217:0107,0
20050217:0207,0
20050217:0307,0
20050217:0407,0
20050217:0507,15.09
20050217:0607,235.08
20050217:0707,471.38
20050217:0807,638.01
20050217:0907,755.15
20050217:1007,803.87
20050217:1107,802.8
20050217:1207,750.12
20050217:1307,636.35
20050217:1407,488.05
20050217:1507,259.52
20050217:1607,0
20050217:1707,0
20050217:1807,0
20050217:1907,0
20050217:2007,0
20050217:2107,0
20050217:2207,0
20050217:2307,0
20050218:0007,0
20050218:0107,0
20050218:0207,0
20050218:0307,0
20050218:0407,0
20050218:0507,16.32
20050218:0607,235.51
20050218:0707,455.95
20050218:0807,618.28
20050218:0907,736.96
20050218:1007,785.46
20050218:1107,782.26
20050218:1207,728.93
20050218:1307,621.61
20050218:1407,475.4
20050218:1507,235.1
20050218:1607,0
20050218:1707,0
20050218:1807,0
20050218:1907,0
20050218:2007,0
20050218:2107,0
20050218:2207,0
20050218:2307,0
20050219:0007,0
20050219:0107,0
20050219:0207,0
20050219:0307,0
20050219:0407,0
20050219:0507,17.6
20050219:0607,243.55
20050219:0707,459.13
20050219:0807,633.44
20050219:0907,742.91
20050219:1007,801.67
20050219:1107,798.75
20050219:1207,743.59
20050219:1307,641.89
20050219:1407,469.93
20050219:1507,269.69
20050219:1607,0
20050219:1707,0
20050219:1807,0
20050219:1907,0
20050219:2007,0
20050219:2107,0
20050219:2207,0
20050219:2307,0
20050220:0007,0
20050220:0107,0
20050220:0207,0
20050220:0307,0
20050220:0407,0
20050220:0507,18.87
20050220:0607,245.56
20050220:0707,459.82
20050220:0807,628.93
20050220:0907,739.59
20050220:1007,785.64
20050220:1107,783.47
20050220:1207,727.23
20050220:1307,621.91
20050220:1407,462.89
20050220:1507,257.84
20050220:1607,0
20050220:1707,0
20050220:1807,0
20050220:1907,0
20050220:2007,0
20050220:2107,0
20050220:2207,0
20050220:2307,0
20050221:0007,0
20050221:0107,0
20050221:0207,0
20050221:0307,0
20050221:0407,0
20050221:0507,20.17
20050221:0607,248.32
20050221:0707,461.19
20050221:0807,623
20050221:0907,732.37
20050221:1007,777.81
20050221:1107,779.62
20050221:1207,723.78
20050221:1307,603.5
20050221:1407,466.22
20050221:1507,249.82
20050221:1607,0
20050221:1707,0
20050221:1807,0
20050221:1907,0
