time,P
20050209:2207,0
20050209:2307,0
20050210:0007,0
20050210:0107,0
20050210:0207,0
20050210:0307,0
20050210:0407,0
20050210:0507,0
20050210:0607,169.86
20050210:0707,403.39
20050210:0807,587.9
20050210:0907,735.49
20050210:1007,792.19
20050210:1107,819.16
20050210:1207,773.15
20050210:1307,687.72
20050210:1407,518.62
20050210:1507,318.89
20050210:1607,91.63
20050210:1707,0
20050210:1807,0
20050210:1907,0
20050210:2007,0
20050210:2107,0
20050210:2207,0
20050210:2307,0
20050211:0007,0
20050211:0107,0
20050211:0207,0
20050211:0307,0
20050211:0407,0
20050211:0507,0
20050211:0607,169.69
20050211:0707,413.35
20050211:0807,609.4
20050211:0907,725.34
20050211:1007,810.23
20050211:1107,827.39
20050211:1207,772.65
20050211:1307,678.22
20050211:1407,538.23
20050211:1507,320.18
20050211:1607,90.97
20050211:1707,0
20050211:1807,0
20050211:1907,0
20050211:2007,0
20050211:2107,0
20050211:2207,0
20050211:2307,0
20050212:0007,0
20050212:0107,0
20050212:0207,0
20050212:0307,0
20050212:0407,0
20050212:0507,0
20050212:0607,171.34
20050212:0707,415.33
20050212:0807,605.41
20050212:0907,730.67
20050212:1007,806.59
20050212:1107,828.01
20050212:1207,781.72
20050212:1307,683.94
20050212:1407,536.75
20050212:1507,335.6
20050212:1607,82.98
20050212:1707,0
20050212:1807,0
20050212:1907,0
20050212:2007,0
20050212:2107,0
20050212:2207,0
20050212:2307,0
20050213:0007,0
20050213:0107,0
20050213:0207,0
20050213:0307,0
20050213:0407,0
20050213:0507,0
20050213:0607,175.78
20050213:0707,405.28
20050213:0807,602.46
20050213:0907,742.73
20050213:1007,804.24
20050213:1107,805.43
20050213:1207,765.54
20050213:1307,667.61
20050213:1407,520.51
20050213:1507,312.37
20050213:1607,83.21
20050213:1707,0
20050213:1807,0
20050213:1907,0
20050213:2007,0
20050213:2107,0
20050213:2207,0
20050213:2307,0
20050214:0007,0
20050214:0107,0
20050214:0207,0
20050214:0307,0
20050214:0407,0
20050214:0507,0
20050214:0607,168.39
20050214:0707,410.02
20050214:0807,604.23
20050214:0907,737.23
20050214:1007,799.83
20050214:1107,822.59
20050214:1207,784.7
20050214:1307,681.92
20050214:1407,529.85
20050214:1507,332.95
20050214:1607,91.44
20050214:1707,0
20050214:1807,0
20050214:1907,0
20050214:2007,0
20050214:2107,0
20050214:2207,0
20050214:2307,0
20050215:0007,0
20050215:0107,0
20050215:0207,0
20050215:0307,0
20050215:0407,0
20050215:0507,0
20050215:0607,177.04
20050215:0707,409.29
20050215:0807,608.17
20050215:0907,727.13
20050215:1007,800.1
20050215:1107,816.03
20050215:1207,784.83
20050215:1307,676.93
20050215:1407,534.25
20050215:1507,329.39
20050215:1607,89.67
20050215:1707,0
20050215:1807,0
20050215:1907,0
20050215:2007,0
20050215:2107,0
20050215:2207,0
20050215:2307,0
20050216:0007,0
20050216:0107,0
20050216:0207,0
20050216:0307,0
20050216:0407,0
20050216:0507,0
20050216:0607,168.54
20050216:0707,406.49
20050216:0807,591.96
20050216:0907,714.15
20050216:1007,781.03
20050216:1107,801.46
20050216:1207,749.91
20050216:1307,668.39
20050216:1407,526.76
20050216:1507,311.25
20050216:1607,82.05
20050216:1707,0
20050216:1807,0
20050216:1907,0
20050216:2007,0
20050216:2107,0
20050216:2207,0
20050216:2307,0
20050217:0007,0
20050217:0107,0
20050217:0207,0
20050217:0307,0
20050217:0407,0
20050217:0507,0
20050217:0607,169.58
20050217:0707,416.04
20050217:0807,592.78
20050217:0907,711.77
20050217:1007,783.18
20050217:1107,798.7
20050217:1207,764.35
20050217:1307,672.43
20050217:1407,532.06
20050217:1507,328.4
20050217:1607,88.99
20050217:1707,0
20050217:1807,0
20050217:1907,0
20050217:2007,0
20050217:2107,0
20050217:2207,0
20050217:2307,0
20050218:0007,0
20050218:0107,0
20050218:0207,0
20050218:0307,0
20050218:0407,0
20050218:0507,0
20050218:0607,179.46
20050218:0707,406.97
20050218:0807,597.75
20050218:0907,701.86
20050218:1007,794.68
20050218:1107,817
20050218:1207,774.74
20050218:1307,686.28
20050218:1407,543.62
20050218:1507,331.02
20050218:1607,81.08
20050218:1707,0
20050218:1807,0
20050218:1907,0
20050218:2007,0
20050218:2107,0
20050218:2207,0
20050218:2307,0
20050219:0007,0
20050219:0107,0
20050219:0207,0
20050219:0307,0
20050219:0407,0
20050219:0507,0
20050219:0607,180.63
20050219:0707,419.78
20050219:0807,599.78
20050219:0907,734.08
20050219:1007,810.49
20050219:1107,829.46
20050219:1207,794.03
20050219:1307,693.39
20050219:1407,545.82
20050219:1507,334.32
20050219:1607,80.82
20050219:1707,0
20050219:1807,0
20050219:1907,0
20050219:2007,0
20050219:2107,0
20050219:2207,0
20050219:2307,0
20050220:0007,0
20050220:0107,0
20050220:0207,0
20050220:0307,0
20050220:0407,0
20050220:0507,0
20050220:0607,173.82
20050220:0707,417.98
20050220:0807,604.79
20050220:0907,724.95
20050220:1007,806.29
20050220:1107,813.97
20050220:1207,765.48
20050220:1307,681.04
20050220:1407,529.37
20050220:1507,322.82
20050220:1607,80.33
20050220:1707,0
20050220:1807,0
20050220:1907,0
20050220:2007,0
20050220:2107,0
20050220:2207,0
20050220:2307,0
20050221:0007,0
20050221:0107,0
20050221:0207,0
20050221:0307,0
20050221:0407,0
20050221:0507,0
20050221:0607,175.63
20050221:0707,412.28
20050221:0807,599.26
20050221:0907,716.83
20050221:1007,789.01
20050221:1107,808.5
20050221:1207,756.24
20050221:1307,666.03
20050221:1407,520.36
20050221:1507,314.64
20050221:1607,78.93
20050221:1707,0
20050221:1807,0
20050221:1907,0
20050221:2007,0
20050221:2107,0
20050221:2207,0
20050221:2307,0
20050222:0007,0
20050222:0107,0
20050222:0207,0
20050222:0307,0
20050222:0407,0
20050222:0507,0
20050222:0607,169.81
20050222:0707,393.32
20050222:0807,564.37
20050222:0907,699.66
20050222:1007,795.35
20050222:1107,825.79
20050222:1207,764.56
20050222:1307,679.44
20050222:1407,502
20050222:1507,287.6
