Time,value,,,,,,,,,,,,
20130112:0307,272902.039,,,,,,,,,,,,
20130112:0407,396160.2428,,,,,,,,,,,,
20130112:0507,708473.1606,,,,,,,,,,,,
20130112:0607,723141.6226,,,,,,,,,,,,
20130112:0707,662659.4846,,,,,,,,,,,,
20130112:0807,605713.362,,,,,,,,,,,,
20130112:0907,613181.2146,,,,,,,,,,,,
20130112:1007,664284.4487,,,,,,,,,,,,
20130112:1107,650187.9798,,,,,,,,,,,,
20130112:1207,826425.0139,,,,,,,,,,,,
20130112:1307,912507.1118,,,,,,,,,,,,
20130112:1407,901363.3643,,,,,,,,,,,,
20130112:1507,812536.9911,,,,,,,,,,,,
20130112:1607,198187.856,,,,,,,,,,,,
20130112:1707,51721.65039,,,,,,,,,,,,
20130112:1807,196582.0982,,,,,,,,,,,,
20130112:1907,161347.5715,,,,,,,,,,,,
20130112:2007,14081.69394,,,,,,,,,,,,
20130112:2107,-80034.52703,,,,,,,,,,,,
20130112:2207,-73349.57197,,,,,,,,,,,,
20130112:2307,132449.5211,,,,,,,,,,,,
20130113:0007,268579.4446,,,,,,,,,,,,
20130113:0107,397700.3158,,,,,,,,,,,,
20130113:0207,732001.7733,,,,,,,,,,,,
20130113:0307,762319.7797,,,,,,,,,,,,
20130113:0407,707197.3516,,,,,,,,,,,,
20130113:0507,653101.8282,,,,,,,,,,,,
20130113:0607,718492.8413,,,,,,,,,,,,
20130113:0707,780123.5876,,,,,,,,,,,,
20130113:0807,700524.3091,,,,,,,,,,,,
20130113:0907,539086.0136,,,,,,,,,,,,
20130113:1007,511676.6121,,,,,,,,,,,,
20130113:1107,520451.5741,,,,,,,,,,,,
20130113:1207,564037.5787,,,,,,,,,,,,
20130113:1307,249388.3476,,,,,,,,,,,,
20130113:1407,70046.80311,,,,,,,,,,,,
20130113:1507,68502.63786,,,,,,,,,,,,
20130113:1607,-61190.98633,,,,,,,,,,,,
20130113:1707,-125900.7368,,,,,,,,,,,,
20130113:1807,-149263.435,,,,,,,,,,,,
20130113:1907,-141900.5936,,,,,,,,,,,,
20130113:2007,-114398.4359,,,,,,,,,,,,
20130113:2107,-42843.70228,,,,,,,,,,,,
20130113:2207,110529.4475,,,,,,,,,,,,
20130113:2307,708860.5227,,,,,,,,,,,,
20130114:0007,874155.0825,,,,,,,,,,,,
20130114:0107,845848.3929,,,,,,,,,,,,
20130114:0207,703928.3666,,,,,,,,,,,,
20130114:0307,554976.5481,,,,,,,,,,,,
20130114:0407,683019.8827,,,,,,,,,,,,
20130114:0507,697595.7361,,,,,,,,,,,,
20130114:0607,1013806.13,,,,,,,,,,,,
20130114:0707,1184404.214,,,,,,,,,,,,
20130114:0807,1207918.433,,,,,,,,,,,,
20130114:0907,1095361.212,,,,,,,,,,,,
20130114:1007,103876.4572,,,,,,,,,,,,
20130114:1107,-375963.2358,,,,,,,,,,,,
20130114:1207,-231686.1612,,,,,,,,,,,,
20130114:1307,-23960.15341,,,,,,,,,,,,
20130114:1407,-103458.1681,,,,,,,,,,,,
20130114:1507,-220820.8871,,,,,,,,,,,,
20130114:1607,-290359.8524,,,,,,,,,,,,
20130114:1707,-232125.9137,,,,,,,,,,,,
20130114:1807,-112814.3941,,,,,,,,,,,,
20130114:1907,38570.05073,,,,,,,,,,,,
20130114:2007,718106.0265,,,,,,,,,,,,
20130114:2107,905505.3638,,,,,,,,,,,,
20130114:2207,883683.7128,,,,,,,,,,,,
20130114:2307,761277.4792,,,,,,,,,,,,
20130115:0007,675898.1978,,,,,,,,,,,,
20130115:0107,766381.7911,,,,,,,,,,,,
20130115:0207,755434.3874,,,,,,,,,,,,
20130115:0307,563777.5662,,,,,,,,,,,,
20130115:0407,486328.8889,,,,,,,,,,,,
20130115:0507,469511.251,,,,,,,,,,,,
20130115:0607,488422.3258,,,,,,,,,,,,
20130115:0707,-72103.08315,,,,,,,,,,,,
20130115:0807,-322798.6263,,,,,,,,,,,,
20130115:0907,-164274.7438,,,,,,,,,,,,
20130115:1007,-33124.74951,,,,,,,,,,,,
20130115:1107,-131124.4337,,,,,,,,,,,,
20130115:1207,-236555.0464,,,,,,,,,,,,
20130115:1307,-279737.5471,,,,,,,,,,,,
20130115:1407,-163076.7927,,,,,,,,,,,,
20130115:1507,478198.2364,,,,,,,,,,,,
20130115:1607,620446.6028,,,,,,,,,,,,
20130115:1707,541773.644,,,,,,,,,,,,
20130115:1807,161744.0843,,,,,,,,,,,,
20130115:1907,130987.0324,,,,,,,,,,,,
20130115:2007,270212.4526,,,,,,,,,,,,
20130115:2107,498150.0082,,,,,,,,,,,,
20130115:2207,767378.6284,,,,,,,,,,,,
20130115:2307,819132.0225,,,,,,,,,,,,
20130116:0007,854024.8349,,,,,,,,,,,,
20130116:0107,922811.1533,,,,,,,,,,,,
20130116:0207,911492.7206,,,,,,,,,,,,
20130116:0307,828493.0254,,,,,,,,,,,,
20130116:0407,434070.661,,,,,,,,,,,,
20130116:0507,-583634.9839,,,,,,,,,,,,
20130116:0607,-327701.6183,,,,,,,,,,,,
20130116:0707,-80315.04782,,,,,,,,,,,,
20130116:0807,-63507.07493,,,,,,,,,,,,
20130116:0907,-163196.8106,,,,,,,,,,,,
20130116:1007,-188101.1191,,,,,,,,,,,,
20130116:1107,-136886.7057,,,,,,,,,,,,
20130116:1207,-43309.00691,,,,,,,,,,,,
20130116:1307,70217.95096,,,,,,,,,,,,
20130116:1407,230823.9051,,,,,,,,,,,,
20130116:1507,496232.8951,,,,,,,,,,,,
20130116:1607,478359.5901,,,,,,,,,,,,
20130116:1707,392712.2432,,,,,,,,,,,,
20130116:1807,327380.7079,,,,,,,,,,,,
20130116:1907,347165.5069,,,,,,,,,,,,
20130116:2007,185170.9091,,,,,,,,,,,,
20130116:2107,78493.63985,,,,,,,,,,,,
20130116:2207,174099.6951,,,,,,,,,,,,
20130116:2307,318059.7161,,,,,,,,,,,,
20130117:0007,431547.5061,,,,,,,,,,,,
20130117:0107,326003.3615,,,,,,,,,,,,
20130117:0207,-291248.1942,,,,,,,,,,,,
20130117:0307,-308244.1649,,,,,,,,,,,,
20130117:0407,-160890.036,,,,,,,,,,,,
20130117:0507,-95870.38379,,,,,,,,,,,,
20130117:0607,-178820.861,,,,,,,,,,,,
20130117:0707,-256533.8587,,,,,,,,,,,,
20130117:0807,-279048.57,,,,,,,,,,,,
20130117:0907,-195632.8397,,,,,,,,,,,,
20130117:1007,49887.0555,,,,,,,,,,,,
20130117:1107,318765.8053,,,,,,,,,,,,
20130117:1207,821894.55,,,,,,,,,,,,
20130117:1307,771592.6598,,,,,,,,,,,,
20130117:1407,553335.8324,,,,,,,,,,,,
20130117:1507,329925.6471,,,,,,,,,,,,
20130117:1607,268753.2725,,,,,,,,,,,,
20130117:1707,608604.4036,,,,,,,,,,,,
20130117:1807,752835.6084,,,,,,,,,,,,
20130117:1907,872205.7377,,,,,,,,,,,,
20130117:2007,869301.889,,,,,,,,,,,,
20130117:2107,861932.3671,,,,,,,,,,,,
20130117:2207,577942.8458,,,,,,,,,,,,
20130117:2307,-475317.3218,,,,,,,,,,,,
20130118:0007,-389619.1221,,,,,,,,,,,,
20130118:0107,-83967.36074,,,,,,,,,,,,
20130118:0207,64263.84435,,,,,,,,,,,,
20130118:0307,-73668.75316,,,,,,,,,,,,
20130118:0407,-163661.9641,,,,,,,,,,,,
20130118:0507,-96260.5237,,,,,,,,,,,,
20130118:0607,88041.33826,,,,,,,,,,,,
20130118:0707,24771.28892,,,,,,,,,,,,
20130118:0807,172680.8774,,,,,,,,,,,,
20130118:0907,680263.0275,,,,,,,,,,,,
20130118:1007,727107.3083,,,,,,,,,,,,
