Time,value
20130126:0607,-37515.5801
20130126:0707,-74453.81498
20130126:0807,-84907.2786
20130126:0907,-315744.4112
20130126:1007,-316029.1697
20130126:1107,-231136.7582
20130126:1207,-230661.6125
20130126:1307,-176914.4732
20130126:1407,-177912.705
20130126:1507,-214936.9411
20130126:1607,-217312.8258
20130126:1707,-234439.4695
20130126:1807,-234067.8311
20130126:1907,247114.6944
20130126:2007,249333.6246
20130126:2107,183159.3
20130126:2207,181036.1607
20130126:2307,-68294.76582
20130127:0007,-61138.96953
20130127:0107,125208.1382
20130127:0207,124958.3673
20130127:0307,-183407.0133
20130127:0407,-184724.8382
20130127:0507,-268089.0697
20130127:0607,-267740.7317
20130127:0707,-208087.794
20130127:0807,-209026.3283
20130127:0907,-230409.7198
20130127:1007,-230299.8515
20130127:1107,-213885.9887
20130127:1207,-213916.5555
20130127:1307,-238705.631
20130127:1407,-238859.3807
20130127:1507,-191260.9882
20130127:1607,-186923.4884
20130127:1707,-69076.03008
20130127:1807,-68177.20934
20130127:1907,695442.4371
20130127:2007,699341.2635
20130127:2107,1009652.874
20130127:2207,1008475.211
20130127:2307,594815.1373
20130128:0007,584787.7494
20130128:0107,474401.3244
20130128:0207,473634.8349
20130128:0307,257053.9103
20130128:0407,256790.2211
20130128:0507,495954.4642
20130128:0607,497349.1617
20130128:0707,588892.2478
20130128:0807,570696.9239
20130128:0907,-293100.6426
20130128:1007,-296346.0668
20130128:1107,-381238.4649
20130128:1207,-379501.0415
20130128:1307,-69244.34266
20130128:1407,-69060.69938
20130128:1507,-203314.4868
20130128:1607,-210462.1361
20130128:1707,464213.4795
20130128:1807,473626.3087
20130128:1907,2107488.759
20130128:2007,2107561.778
20130128:2107,1480850.713
20130128:2207,1478756.389
20130128:2307,1300635.689
20130129:0007,1299243.224
20130129:0107,1189571.058
20130129:0207,1188782.087
20130129:0307,1363819.825
20130129:0407,1366080.663
20130129:0507,1818419.863
20130129:0607,1818612.039
20130129:0707,1551317.791
20130129:0807,1544995.903
20130129:0907,1404729.431
20130129:1007,1401878.142
20130129:1107,424477.1166
20130129:1207,421414.7836
20130129:1307,136307.5882
20130129:1407,135808.743
20130129:1507,1560.522634
20130129:1607,-1565.317018
20130129:1707,-2469.07562
20130129:1807,-2271.930849
20130129:1907,403869.8492
20130129:2007,406306.583
20130129:2107,704402.1199
20130129:2207,704531.8452
20130129:2307,796453.3019
20130130:0007,802530.2469
20130130:0107,830701.9014
20130130:0207,830434.5431
20130130:0307,817217.9664
20130130:0407,817862.8242
20130130:0507,1043186.623
20130130:0607,1043489.737
20130130:0707,602132.581
20130130:0807,564356.4782
20130130:0907,-191372.156
20130130:1007,-192423.9676
20130130:1107,-152892.638
20130130:1207,-152710.0938
20130130:1307,-240151.9908
20130130:1407,-240713.6579
20130130:1507,-272223.6055
20130130:1607,-269445.6836
20130130:1707,-184605.0248
20130130:1807,-184101.2945
20130130:1907,430950.2407
20130130:2007,434408.8303
20130130:2107,944861.237
20130130:2207,946205.4362
20130130:2307,1433127.586
20130131:0007,1452891.028
20130131:0107,1584413.031
20130131:0207,1583645.877
20130131:0307,1256507.503
20130131:0407,1255541.73
20130131:0507,1193096.922
20130131:0607,1193004.831
20130131:0707,1235730.707
20130131:0807,1241689
20130131:0907,1625326.204
20130131:1007,1627525.302
20130131:1107,1423938.197
20130131:1207,1420572.99
20130131:1307,739826.9084
20130131:1407,738820.1521
20130131:1507,738618.3998
20130131:1607,741135.7488
20130131:1707,695450.1808
20130131:1807,694601.0848
20130131:1907,772532.1989
20130131:2007,774394.6389
20130131:2107,1325352.397
20130131:2207,1326997.196
20130131:2307,1335594.08
20130201:0007,1324484.464
20130201:0107,1100590.625
20130201:0207,1100252.771
20130201:0307,1226446.042
20130201:0407,1227220.523
20130201:0507,1221732.988
20130201:0607,1220849.165
20130201:0707,883199.7015
20130201:0807,867970.9384
20130201:0907,905581.1525
20130201:1007,908143.7442
20130201:1107,1078221.489
20130201:1207,1076516.967
20130201:1307,729263.8687
20130201:1407,729387.7203
20130201:1507,838612.4924
20130201:1607,838320.0837
20130201:1707,816114.9032
20130201:1807,816431.5465
20130201:1907,809889.8959
20130201:2007,809444.5936
20130201:2107,817778.6127
20130201:2207,818623.409
20130201:2307,1102308.505
20130202:0007,1107985.248
20130202:0107,967549.3904
20130202:0207,966756.8328
20130202:0307,1212420.432
20130202:0407,1214488.108
20130202:0507,1326693.559
20130202:0607,1325594.27
20130202:0707,795983.8965
20130202:0807,774279.8748
20130202:0907,714614.3352
20130202:1007,716926.9459
20130202:1107,675494.4807
20130202:1207,672339.9026
20130202:1307,3836.746276
20130202:1407,3062.065497
20130202:1507,334815.601
20130202:1607,356130.4203
20130202:1707,610140.0446
20130202:1807,610225.2675
20130202:1907,830799.1532
20130202:2007,832498.9279
20130202:2107,1148583.719
20130202:2207,1149431.703
20130202:2307,1216668.352
20130203:0007,1214323.589
20130203:0107,1198031.777
20130203:0207,1198644.054
20130203:0307,1384538.832
20130203:0407,1385118.995
20130203:0507,1419631.962
20130203:0607,1419329.06
20130203:0707,1147380.455
20130203:0807,1293958.587
20130203:0907,1119756.675
20130203:1007,1170137.788
20130203:1107,568629.217
20130203:1207,562006.4102
20130203:1307,-661271.6402
20130203:1407,-661970.7109
20130203:1507,-20175.85111
20130203:1607,10237.13938
20130203:1707,363884.9777
20130203:1807,365215.537
20130203:1907,1042185.452
20130203:2007,1045002.029
20130203:2107,1187999.739
20130203:2207,1186796.825
20130203:2307,924343.4684
20130204:0007,923908.9304
20130204:0107,1142384.394
20130204:0207,1143600.932
20130204:0307,1276456.961
20130204:0407,1276183.736
20130204:0507,1065559.974
20130204:0607,1064373.961
20130204:0707,-289815.528
20130204:0807,621187.1621
20130204:0907,-301804.4121
20130204:1007,-300688.0467
20130204:1107,-130676.1474
20130204:1207,-130325.5647
20130204:1307,-245493.8137
20130204:1407,-245914.407
20130204:1507,-196953.9644
20130204:1607,-190704.723
20130204:1707,110535.4038
20130204:1807,113063.7772
20130204:1907,823190.7072
20130204:2007,824970.4458
20130204:2107,836782.748
20130204:2207,836073.4053
20130204:2307,790382.8211
20130205:0007,790821.8943
20130205:0107,603397.3651
20130205:0207,601908.6707
20130205:0307,320017.2649
20130205:0407,319617.554
20130205:0507,353862.282
20130205:0607,354104.0836
20130205:0707,-155937.4496
20130205:0807,-190211.1743
20130205:0907,-427636.6623
20130205:1007,-426317.8134
20130205:1107,-120231.8093
20130205:1207,-120064.6397
20130205:1307,-265214.9916
20130205:1407,-265803.0745
20130205:1507,-186311.4475
20130205:1607,-176782.4265
20130205:1707,64510.56808
20130205:1807,65935.53283
20130205:1907,485169.6188
20130205:2007,486390.0355
20130205:2107,600533.3769
20130205:2207,600723.9317
20130205:2307,583784.1397
20130206:0007,578390.7687
20130206:0107,260780.0959
20130206:0207,258872.1475
20130206:0307,-39417.79505
20130206:0407,-39721.47079
20130206:0507,305443.255
20130206:0607,308688.4386
20130206:0707,665738.439
20130206:0807,660307.2157
20130206:0907,763356.6773
20130206:1007,764670.5519
20130206:1107,663052.2812
20130206:1207,661143.5791
20130206:1307,452248.1994
20130206:1407,453301.1728
20130206:1507,835186.93
20130206:1607,844520.1844
20130206:1707,838334.9321
20130206:1807,837679.7154
20130206:1907,687149.7956
20130206:2007,686970.619
20130206:2107,851997.7386
20130206:2207,853287.8645
20130206:2307,1058937.666
20130207:0007,1060247.623
20130207:0107,1050252.866
20130207:0207,1062464.241
20130207:0307,1243434.007
20130207:0407,1243865.8
20130207:0507,1270231.199
20130207:0607,1269774.698
20130207:0707,625031.6345
20130207:0807,588239.4552
20130207:0907,214492.7322
20130207:1007,214577.4082
20130207:1107,263427.5846
20130207:1207,263259.1194
20130207:1307,131171.731
20130207:1407,130424.7667
20130207:1507,101746.0411
20130207:1607,106945.1745
20130207:1707,317509.074
20130207:1807,319028.3337
20130207:1907,809631.4704
20130207:2007,811198.7972
20130207:2107,930506.6186
20130207:2207,930351.0929
20130207:2307,874415.3747
20130208:0007,874069.6602
20130208:0107,948743.9743
20130208:0207,949264.0381
20130208:0307,1058766.398
20130208:0407,1058993.956
20130208:0507,988634.9522
20130208:0607,987737.024
20130208:0707,-3684.087105
20130208:0807,-57824.98331
20130208:0907,-439451.6771
20130208:1007,-438026.9209
20130208:1107,-100522.1564
20130208:1207,-100362.3006
20130208:1307,-262046.6626
20130208:1407,-262653.4491
20130208:1507,-182339.1498
20130208:1607,-172643.7997
20130208:1707,191853.9436
20130208:1807,194661.1296
20130208:1907,1126392.472
20130208:2007,1129352.162
20130208:2107,1222974.864
20130208:2207,1221481.322
20130208:2307,969775.6344
20130209:0007,970439.4513
20130209:0107,1124049.143
20130209:0207,1124765.703
20130209:0307,1654776.526
20130209:0407,1657427.688
20130209:0507,1797926.136
20130209:0607,1796660.532
20130209:0707,947863.6847
20130209:0807,905324.7702
20130209:0907,426267.9218
20130209:1007,426135.3186
20130209:1107,332780.6004
20130209:1207,331592.3702
20130209:1307,24056.44059
20130209:1407,23335.72194
20130209:1507,100321.3348
20130209:1607,110186.1043
20130209:1707,471909.8738
20130209:1807,474277.7111
20130209:1907,1020132.027
20130209:2007,1021164.756
20130209:2107,954491.2025
20130209:2207,954241.0263
20130209:2307,1176506.048
20130210:0007,1217831.309
20130210:0107,1294823.848
20130210:0207,1294503.317
20130210:0307,1199249.836
20130210:0407,1198863.97
20130210:0507,1053152.712
20130210:0607,1052343.45
20130210:0707,342422.6703
20130210:0807,303770.6234
20130210:0907,-30137.76224
20130210:1007,-29557.13957
20130210:1107,9270.478762
20130210:1207,8401.751296
20130210:1307,-210946.993
20130210:1407,-211216.4662
20130210:1507,-35424.42958
20130210:1607,-23785.32635
20130210:1707,297027.9903
20130210:1807,299220.0995
20130210:1907,1012438.265
20130210:2007,1014661.462
20130210:2107,1158647.548
20130210:2207,1158627.821
20130210:2307,1295307.287
20130211:0007,1303387.45
20130211:0107,1353819.081
20130211:0207,1353395.64
20130211:0307,1479747.135
20130211:0407,1481022.829
20130211:0507,1540592.404
20130211:0607,1539616.196
20130211:0707,419583.4975
20130211:0807,357884.0144
20130211:0907,-52070.86551
20130211:1007,-50127.5322
20130211:1107,335645.456
20130211:1207,335573.1675
20130211:1307,90446.94323
20130211:1407,89426.8186
20130211:1507,245510.9825
20130211:1607,264087.7414
20130211:1707,694611.0045
20130211:1807,696538.3813
20130211:1907,1185915.222
20130211:2007,1187305.459
20130211:2107,1288305.646
20130211:2207,1288338.057
20130211:2307,1362464.555
20130212:0007,1367028.161
20130212:0107,1413567.676
20130212:0207,1413451.571
20130212:0307,1204540.857
20130212:0407,1203275.249
20130212:0507,953743.8389
20130212:0607,955373.1446
20130212:0707,412429.3948
20130212:0807,381061.5005
20130212:0907,194065.5985
20130212:1007,194987.6232
20130212:1107,121415.9529
20130212:1207,119838.5441
20130212:1307,-70481.1063
20130212:1407,-70059.61031
20130212:1507,156820.5876
20130212:1607,164680.1866
20130212:1707,398729.6857
20130212:1807,400774.588
20130212:1907,1178128.228
20130212:2007,1178387.537
20130212:2107,1269482.778
20130212:2207,1268517.597
20130212:2307,1119516.037
20130213:0007,1121630.218
20130213:0107,1229983.752
20130213:0207,1230487.879
20130213:0307,1654270.303
20130213:0407,1656408.013
20130213:0507,1693030.582
20130213:0607,1691181.564
20130213:0707,635946.2282
20130213:0807,585237.6472
20130213:0907,38058.61753
20130213:1007,37923.82407
20130213:1107,95997.88636
20130213:1207,95910.83997
20130213:1307,-78657.55819
20130213:1407,-79802.20381
20130213:1507,-140740.983
20130213:1607,-133456.9399
20130213:1707,232979.8719
20130213:1807,235594.9059
20130213:1907,778611.7341
20130213:2007,779852.3611
20130213:2107,1017678.544
20130213:2207,1018193.752
20130213:2307,962502.9581
20130214:0007,955803.4332
20130214:0107,893121.9938
20130214:0207,893654.7567
20130214:0307,1027524.777
20130214:0407,1027367.307
20130214:0507,737653.9936
20130214:0607,735964.5655
20130214:0707,-150147.6077
