Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
44	34407.75	1010.18744	35227.0	32740.0	1000.0	234.57953	0.0001682381	234.57956	234.5762	180000	-1.2636185e-07	8808583.0	-0.016381497	-30300.0	0.6878892	0.013744611	0.11875	79.0	12380.138319015503
45	34343.5	1433.9878	35380.0	31873.0	1000.0	239.89667	0.00015826535	239.89671	239.89346	184000	-1.6856194e-07	8693234.0	-0.016686998	-30034.0	0.67798084	0.011060727	0.1285	79.0	13617.184341192245
46	33915.0	1461.8379	35351.0	31487.0	1000.0	245.18285	0.00011458477	245.18289	245.17975	188000	-3.945828e-08	8558948.0	-0.012132895	-29530.0	0.677157	0.01569036	0.11875	16.0	14802.092683315277
47	31989.5	2025.6863	35385.0	30243.0	1000.0	250.42357	0.000102970545	250.4236	250.42058	192000	-9.775162e-09	7507374.5	-0.0020777485	-25755.5	0.6754914	0.017196877	0.186	2.0	16025.159889936447
48	32027.75	2582.7827	35340.0	28880.0	1000.0	255.34178	0.0001311011	255.34181	255.3389	196000	2.5749208e-07	7525944.5	-0.019222828	-25850.0	0.67522186	0.014081079	0.14075	79.0	17291.92948794365
49	32307.5	1843.9979	35276.0	30442.0	1000.0	260.2587	0.000100966616	260.25867	260.25586	200000	-1.0919572e-07	7525795.5	-0.01739747	-25863.5	0.6713782	0.013105489	0.1135	79.0	18559.462518692017
50	33231.25	1627.2015	35398.0	31079.0	1000.0	265.18893	9.963767e-05	265.1889	265.1862	204000	-8.7380414e-08	8138419.5	-0.017454052	-28012.5	0.6641367	0.01296411	0.1325	79.0	19757.45894932747
51	31112.25	2959.964	35529.0	28163.0	1000.0	270.31393	9.9109326e-05	270.314	270.31134	208000	-1.358986e-07	6936529.0	-0.011529083	-24054.5	0.66079617	0.016034622	0.17175	13.0	20929.75391769409
52	31463.0	2574.0784	35502.0	28861.0	1000.0	275.1065	9.8958866e-05	275.10657	275.104	212000	-1.5068055e-07	7195647.5	-0.020243868	-24898.0	0.6576423	0.013888501	0.1595	79.0	22169.775247335434
53	31516.0	1854.3623	34514.0	29687.0	1000.0	279.96732	6.752423e-05	279.96738	279.96484	216000	6.484986e-08	7076581.5	-0.015939234	-24663.0	0.6495282	0.015041011	0.1275	40.0	23380.866909503937
