Time,Month,Day,Time of the day,Wind power generation - hourly data
1/20/2018 9:00,1,20,9,137
1/20/2018 10:00,1,20,10,121
1/20/2018 11:00,1,20,11,105
1/20/2018 12:00,1,20,12,78
1/20/2018 13:00,1,20,13,71
1/20/2018 14:00,1,20,14,63
1/20/2018 15:00,1,20,15,66
1/20/2018 16:00,1,20,16,87
1/20/2018 17:00,1,20,17,94
1/20/2018 18:00,1,20,18,95
1/20/2018 19:00,1,20,19,114
1/20/2018 20:00,1,20,20,122
1/20/2018 21:00,1,20,21,128
1/20/2018 22:00,1,20,22,128
1/20/2018 23:00,1,20,23,126
1/21/2018 0:00,1,21,0,119
1/21/2018 1:00,1,21,1,118
1/21/2018 2:00,1,21,2,97
1/21/2018 3:00,1,21,3,83
1/21/2018 4:00,1,21,4,91
1/21/2018 5:00,1,21,5,104
1/21/2018 6:00,1,21,6,130
1/21/2018 7:00,1,21,7,142
1/21/2018 8:00,1,21,8,154
1/21/2018 9:00,1,21,9,165
1/21/2018 10:00,1,21,10,164
1/21/2018 11:00,1,21,11,152
1/21/2018 12:00,1,21,12,140
1/21/2018 13:00,1,21,13,128
1/21/2018 14:00,1,21,14,123
1/21/2018 15:00,1,21,15,124
1/21/2018 16:00,1,21,16,140
1/21/2018 17:00,1,21,17,174
1/21/2018 18:00,1,21,18,199
1/21/2018 19:00,1,21,19,203
1/21/2018 20:00,1,21,20,215
1/21/2018 21:00,1,21,21,215
1/21/2018 22:00,1,21,22,244
1/21/2018 23:00,1,21,23,273
1/22/2018 0:00,1,22,0,286
1/22/2018 1:00,1,22,1,279
1/22/2018 2:00,1,22,2,262
1/22/2018 3:00,1,22,3,259
1/22/2018 4:00,1,22,4,228
1/22/2018 5:00,1,22,5,181
1/22/2018 6:00,1,22,6,176
1/22/2018 7:00,1,22,7,171
1/22/2018 8:00,1,22,8,193
1/22/2018 9:00,1,22,9,206
1/22/2018 10:00,1,22,10,228
1/22/2018 11:00,1,22,11,198
1/22/2018 12:00,1,22,12,144
1/22/2018 13:00,1,22,13,129
1/22/2018 14:00,1,22,14,104
1/22/2018 15:00,1,22,15,94
1/22/2018 16:00,1,22,16,95
1/22/2018 17:00,1,22,17,101
1/22/2018 18:00,1,22,18,125
1/22/2018 19:00,1,22,19,157
1/22/2018 20:00,1,22,20,205
1/22/2018 21:00,1,22,21,215
1/22/2018 22:00,1,22,22,179
1/22/2018 23:00,1,22,23,183
1/23/2018 0:00,1,23,0,224
1/23/2018 1:00,1,23,1,277
1/23/2018 2:00,1,23,2,298
1/23/2018 3:00,1,23,3,305
1/23/2018 4:00,1,23,4,317
1/23/2018 5:00,1,23,5,321
1/23/2018 6:00,1,23,6,327
1/23/2018 7:00,1,23,7,334
1/23/2018 8:00,1,23,8,327
1/23/2018 9:00,1,23,9,309
1/23/2018 10:00,1,23,10,296
1/23/2018 11:00,1,23,11,311
1/23/2018 12:00,1,23,12,352
1/23/2018 13:00,1,23,13,373
1/23/2018 14:00,1,23,14,372
1/23/2018 15:00,1,23,15,343
1/23/2018 16:00,1,23,16,341
1/23/2018 18:00,1,23,18,366
1/23/2018 19:00,1,23,19,435
1/23/2018 20:00,1,23,20,495
1/23/2018 21:00,1,23,21,580
1/23/2018 22:00,1,23,22,621
1/23/2018 23:00,1,23,23,637
1/24/2018 0:00,1,24,0,715
1/24/2018 1:00,1,24,1,789
1/24/2018 2:00,1,24,2,797
1/24/2018 3:00,1,24,3,836
1/24/2018 4:00,1,24,4,923
1/24/2018 5:00,1,24,5,1026
1/24/2018 6:00,1,24,6,1099
1/24/2018 7:00,1,24,7,1201
1/24/2018 8:00,1,24,8,1307
1/24/2018 9:00,1,24,9,1368
1/24/2018 10:00,1,24,10,1422
1/24/2018 11:00,1,24,11,1461
1/24/2018 12:00,1,24,12,1511
1/24/2018 13:00,1,24,13,1558
1/24/2018 14:00,1,24,14,1552
1/24/2018 15:00,1,24,15,1526
1/24/2018 16:00,1,24,16,1484
1/24/2018 17:00,1,24,17,1394
1/24/2018 18:00,1,24,18,1366
1/24/2018 19:00,1,24,19,1338
1/24/2018 20:00,1,24,20,1330
1/24/2018 21:00,1,24,21,1344
1/24/2018 22:00,1,24,22,1350
1/24/2018 23:00,1,24,23,1362
1/25/2018 0:00,1,25,0,1379
1/25/2018 1:00,1,25,1,1396
1/25/2018 2:00,1,25,2,1395
1/25/2018 3:00,1,25,3,1432
1/25/2018 4:00,1,25,4,1513
1/25/2018 5:00,1,25,5,1553
1/25/2018 6:00,1,25,6,1578
1/25/2018 7:00,1,25,7,1602
1/25/2018 8:00,1,25,8,1621
1/25/2018 9:00,1,25,9,1640
1/25/2018 10:00,1,25,10,1672
1/25/2018 11:00,1,25,11,1670
1/25/2018 12:00,1,25,12,1654
1/25/2018 13:00,1,25,13,1634
1/25/2018 14:00,1,25,14,1603
1/25/2018 15:00,1,25,15,1599
1/25/2018 16:00,1,25,16,1583
1/25/2018 17:00,1,25,17,1589
1/25/2018 18:00,1,25,18,1576
1/25/2018 19:00,1,25,19,1534
1/25/2018 20:00,1,25,20,1489
1/25/2018 21:00,1,25,21,1465
1/25/2018 22:00,1,25,22,1432
1/25/2018 23:00,1,25,23,1386
1/26/2018 0:00,1,26,0,1328
1/26/2018 1:00,1,26,1,1315
1/26/2018 2:00,1,26,2,1314
1/26/2018 3:00,1,26,3,1266
1/26/2018 4:00,1,26,4,1111
1/26/2018 5:00,1,26,5,1031
1/26/2018 6:00,1,26,6,964
1/26/2018 7:00,1,26,7,932
1/26/2018 8:00,1,26,8,961
1/26/2018 9:00,1,26,9,959
1/26/2018 10:00,1,26,10,887
1/26/2018 11:00,1,26,11,889
1/26/2018 12:00,1,26,12,864
1/26/2018 13:00,1,26,13,764
1/26/2018 14:00,1,26,14,706
1/26/2018 15:00,1,26,15,639
1/26/2018 16:00,1,26,16,610
1/26/2018 17:00,1,26,17,635
1/26/2018 18:00,1,26,18,628
1/26/2018 19:00,1,26,19,620
1/26/2018 20:00,1,26,20,577
1/26/2018 21:00,1,26,21,551
1/26/2018 22:00,1,26,22,421
1/26/2018 23:00,1,26,23,323
1/27/2018 0:00,1,27,0,270
1/27/2018 1:00,1,27,1,245
1/27/2018 2:00,1,27,2,194
1/27/2018 3:00,1,27,3,155
1/27/2018 4:00,1,27,4,126
1/27/2018 5:00,1,27,5,91
1/27/2018 6:00,1,27,6,63
1/27/2018 7:00,1,27,7,54
1/27/2018 8:00,1,27,8,46
1/27/2018 9:00,1,27,9,41
1/27/2018 10:00,1,27,10,39
1/27/2018 11:00,1,27,11,35
1/27/2018 12:00,1,27,12,33
1/27/2018 13:00,1,27,13,35
1/27/2018 14:00,1,27,14,40
1/27/2018 15:00,1,27,15,34
1/27/2018 16:00,1,27,16,34
1/27/2018 17:00,1,27,17,36
1/27/2018 18:00,1,27,18,43
1/27/2018 19:00,1,27,19,52
1/27/2018 20:00,1,27,20,59
1/27/2018 21:00,1,27,21,60
1/27/2018 22:00,1,27,22,64
1/27/2018 23:00,1,27,23,60
1/28/2018 0:00,1,28,0,52
1/28/2018 1:00,1,28,1,48
1/28/2018 2:00,1,28,2,56
1/28/2018 3:00,1,28,3,50
1/28/2018 4:00,1,28,4,48
1/28/2018 5:00,1,28,5,52
1/28/2018 6:00,1,28,6,43
1/28/2018 7:00,1,28,7,43
1/28/2018 8:00,1,28,8,56
1/28/2018 9:00,1,28,9,69
1/28/2018 10:00,1,28,10,82
1/28/2018 11:00,1,28,11,101
1/28/2018 12:00,1,28,12,118
1/28/2018 13:00,1,28,13,131
1/28/2018 14:00,1,28,14,143
1/28/2018 15:00,1,28,15,161
1/28/2018 16:00,1,28,16,180
1/28/2018 17:00,1,28,17,216
1/28/2018 18:00,1,28,18,241
1/28/2018 19:00,1,28,19,252
1/28/2018 20:00,1,28,20,252
1/28/2018 21:00,1,28,21,248
1/28/2018 22:00,1,28,22,246
1/28/2018 23:00,1,28,23,239
1/29/2018 0:00,1,29,0,237
1/29/2018 1:00,1,29,1,221
1/29/2018 2:00,1,29,2,203
1/29/2018 3:00,1,29,3,174
1/29/2018 4:00,1,29,4,162
1/29/2018 5:00,1,29,5,152
1/29/2018 6:00,1,29,6,159
1/29/2018 7:00,1,29,7,158
1/29/2018 8:00,1,29,8,145
1/29/2018 9:00,1,29,9,166
1/29/2018 10:00,1,29,10,148
1/29/2018 11:00,1,29,11,152
1/29/2018 12:00,1,29,12,167
1/29/2018 13:00,1,29,13,154
1/29/2018 14:00,1,29,14,136
1/29/2018 15:00,1,29,15,111
1/29/2018 16:00,1,29,16,111
1/29/2018 17:00,1,29,17,172
1/29/2018 18:00,1,29,18,265
1/29/2018 19:00,1,29,19,361
1/29/2018 20:00,1,29,20,382
1/29/2018 21:00,1,29,21,407
1/29/2018 22:00,1,29,22,418
1/29/2018 23:00,1,29,23,401
1/30/2018 0:00,1,30,0,369
1/30/2018 1:00,1,30,1,352
1/30/2018 2:00,1,30,2,372
1/30/2018 3:00,1,30,3,409
1/30/2018 4:00,1,30,4,397
1/30/2018 5:00,1,30,5,417
1/30/2018 6:00,1,30,6,418
1/30/2018 7:00,1,30,7,396
1/30/2018 8:00,1,30,8,388
1/30/2018 9:00,1,30,9,362
1/30/2018 10:00,1,30,10,329
1/30/2018 11:00,1,30,11,305
1/30/2018 12:00,1,30,12,279
1/30/2018 13:00,1,30,13,250
1/30/2018 14:00,1,30,14,182
1/30/2018 15:00,1,30,15,142
1/30/2018 16:00,1,30,16,136
1/30/2018 17:00,1,30,17,136
1/30/2018 18:00,1,30,18,159
1/30/2018 19:00,1,30,19,168
1/30/2018 20:00,1,30,20,154
1/30/2018 21:00,1,30,21,147
1/30/2018 22:00,1,30,22,142
1/30/2018 23:00,1,30,23,136
1/31/2018 0:00,1,31,0,106
1/31/2018 1:00,1,31,1,97
1/31/2018 2:00,1,31,2,79
