time,p:1,q :1,timeStamp
0.318,1615241.583,-2114338.783,39.751
0.319,1642603.336,-2092503.416,40
0.32,1660305.961,-2065856.478,40.01
0.321,1666692.104,-2037900.124,40.25
0.322,1661631.766,-2012224.661,40.251
0.323,1646502.436,-1992032.268,40.5
0.324,1623970.908,-1979723.475,40.501
0.325,1597610.348,-1976599.467,40.75
0.326,1571407.116,-1982716.751,40.751
0.327,1549225.048,-1996909.678,41
0.328,1534298.88,-2016973.801,41.01
0.329,1528822.903,-2039981.973,41.25
0.33,1533686.812,-2062688.25,41.251
0.331,1548389.987,-2081964.141,41.5
0.332,1571141.211,-2095208.826,41.501
0.333,1599126.17,-2100679.793,41.75
0.334,1628903.392,-2097702.174,41.751
0.335,1656873.302,-2086732.063,42
0.336,1679756.758,-2069268.981,42.01
0.337,1695019.734,-2047632.705,42.25
0.338,1701189.45,-2024637.185,42.251
0.339,1698022.878,-2003207.104,42.5
0.34,1686509.002,-1985989.07,42.501
0.341,1668708.538,-1975008.908,42.75
0.342,1647456.206,-1971419.158,42.751
0.343,1625968.15,-1975367.958,43
0.344,1607408.563,-1986003.663,43.01
0.345,1594473.674,-2001611.341,43.25
0.346,1589047.528,-2019859.923,43.251
0.347,1591973.22,-2038124.735,43.5
0.348,1602966.947,-2053841.007,43.501
0.349,1620682.755,-2064840.95,43.75
0.35,1642915.792,-2069630.301,43.751
0.351,1666913.905,-2067569.307,44
0.352,1689753.852,-2058936.541,44.01
0.353,1708730.971,-2044869.979,44.25
0.354,1721710.568,-2027196.066,44.251
0.355,1727395.631,-2008172.04,44.5
0.356,1725477.577,-1990177.619,44.501
0.357,1716653.002,-1975397.947,44.75
0.358,1702507.457,-1965539.878,44.751
0.359,1685284.82,-1961618.207,45
0.36,1667575.434,-1963838.387,45.01
0.361,1651966.111,-1971588.882,45.25
0.362,1640699.099,-1983541.513,45.251
0.363,1635384.741,-1997843.964,45.5
0.364,1636804.44,-2012376.822,45.501
0.365,1644827.719,-2025039.669,45.75
0.366,1658451.544,-2034027.782,45.751
0.367,1675953.759,-2038063.145,46
0.368,1695137.645,-2036550.402,46.01
0.369,1713633.13,-2029638.964,46.25
0.37,1729213.556,-2018185.353,46.251
0.371,1740085.86,-2003623.149,46.5
0.372,1745116.532,-1987759.927,46.501
0.373,1743965.125,-1972529.744,46.75
0.374,1737109.936,-1959734.888,46.751
0.375,1725765.093,-1950811.24,47
0.376,1711702.618,-1946647.617,47.01
0.377,1697005.227,-1947481.643,47.25
0.378,1683784.151,-1952884.035,47.251
0.379,1673900.042,-1961831.259,47.5
0.38,1668723.682,-1972854.83,47.501
0.381,1668967.107,-1984245.73,47.75
0.382,1674605.688,-1994285.648,47.751
0.383,1684899.252,-2001473.876,48
0.384,1698507.055,-2004720.051,48.01
0.385,1713679.168,-2003478.125,48.25
0.386,1728497.182,-1997805.314,48.251
0.387,1741131.296,-1988340.038,48.5
0.388,1750079.49,-1976203.733,48.501
0.389,1754357.668,-1962841.304,48.75
0.39,1753616.891,-1949822.74,48.751
0.391,1748174.009,-1938633.008,49
0.392,1738953.747,-1930478.203,49.01
0.393,1727352.03,-1926133.14,49.25
0.394,1715040.488,-1925849.495,49.251
0.395,1703739.334,-1929335.152,49.5
0.396,1694989.355,-1935805.777,49.501
0.397,1689953.08,-1944100.064,49.75
0.398,1689270.661,-1952841.95,49.751
0.399,1692988.136,-1960627.254,50
