TimeStamp,wSpeed100,,,,w250,w300,w350,w400
33.25,8.88,,,,8.25,8.88,11.16,4.9
33.2501,9.12,,,,8.94,9.12,11.68,6.92
33.5,9.2,,,,9.43,9.2,11.89,7.54
33.501,9.58,,,,9.82,9.58,11.79,7.55
33.75,9.63,,,,10.25,9.63,11.02,7.59
33.7501,9.46,,,,10.42,9.46,9.12,7.73
34,9.27,,,,10.42,9.27,8.06,8.28
34.01,9.27,,,,10.27,9.27,7.78,7.67
34.25,9.83,,,,10.16,9.83,7.54,6.4
34.2501,10.27,,,,9.96,10.27,7.79,5.84
34.5,10.72,,,,10.02,10.72,8.42,6.05
34.501,10.7,,,,10.05,10.7,9.13,7.12
34.75,10.44,,,,9.53,10.44,9.38,6.63
34.7501,10.78,,,,7.41,10.78,9.48,4.34
35,10.81,,,,7,10.81,9.28,3.36
35.01,10.24,,,,7.06,10.24,9.44,2.47
35.25,10.35,,,,6.86,10.35,10.22,1.9
35.2501,12.47,,,,6.79,12.47,10.46,1.85
35.5,12.2,,,,6.85,12.2,10.07,2.67
35.501,12.35,,,,7.03,12.35,10.16,4.44
35.75,12.09,,,,7.14,12.09,10.28,4.85
35.7501,10.63,,,,7.31,10.63,9.82,4.12
36,9.24,,,,7.42,9.24,10.08,4.19
36.01,8.5,,,,7.75,8.5,9.85,5.06
36.25,8.09,,,,8.61,8.09,9.32,6.78
36.2501,8.12,,,,9.34,8.12,9.07,7.82
36.5,7.97,,,,10.02,7.97,9.82,7.89
36.501,7.93,,,,10.48,7.93,10.22,7.53
36.75,8.01,,,,10.52,8.01,9.26,7.14
36.7501,8.09,,,,10.23,8.09,7.92,6.71
37,8.11,,,,9.88,8.11,7.77,6.42
37.01,8.29,,,,9.8,8.29,7.88,5.88
37.25,8.9,,,,9.68,8.9,7.81,5.69
37.2501,9.4,,,,10.72,9.4,7.98,6.53
37.5,9.39,,,,10.69,9.39,8.12,6.6
37.501,9.78,,,,10.43,9.78,7.92,5.94
37.75,10.04,,,,10.11,10.04,8.09,5.79
37.7501,10.46,,,,8.88,10.46,8.38,4.94
38,10.48,,,,7.5,10.48,8.54,5.06
38.01,10.36,,,,7.42,10.36,8.73,4.67
38.25,10.35,,,,7.17,10.35,9.84,4.66
38.2501,10.29,,,,7.19,10.29,10.31,4.34
38.5,10.32,,,,6.73,10.32,10.17,4.54
38.501,10.61,,,,5.76,10.61,10.88,4.81
38.75,10.16,,,,5.25,10.16,11.73,4.77
38.7501,8.34,,,,5.2,8.34,11.53,4.9
39,7.97,,,,5.65,7.97,11.35,5.29
39.01,7.3,,,,6.67,7.3,11.47,6.09
39.25,6.64,,,,8.49,6.64,11.53,8.09
39.2501,6.1,,,,9.33,6.1,12.63,9.32
39.5,5.46,,,,10.05,5.46,12.78,9.26
39.501,4.96,,,,10.65,4.96,12.5,8.96
39.75,4.67,,,,10.72,4.67,11.36,8.94
39.7501,4.76,,,,10.67,4.76,9.5,7.95
40,4.93,,,,10.54,4.93,8.62,2.47
40.01,5.65,,,,10.56,5.65,8.38,2.58
40.25,7.39,,,,10.84,7.39,8.41,3.1
40.2501,8.28,,,,10.66,8.28,8.55,7.29
40.5,8.72,,,,10.28,8.72,9.21,8.92
40.501,9.23,,,,9.79,9.23,9.66,8.62
40.75,9.7,,,,9.44,9.7,10.3,7.45
40.7501,10.01,,,,7.65,10.01,10.63,8
41,10.02,,,,6.51,10.02,10.41,7.42
41.01,9.93,,,,6.61,9.93,10.48,6.87
41.25,9.87,,,,6.21,9.87,10.46,6.83
41.2501,9.27,,,,6.12,9.27,10.44,6.43
41.5,9.28,,,,6.16,9.28,11.6,5.45
41.501,9.19,,,,6.43,9.19,11.86,4.6
41.75,9.15,,,,7.38,9.15,11.47,4.21
41.7501,8.74,,,,8.21,8.74,11.83,4.65
42,7.26,,,,8.64,7.26,11.59,4.98
42.01,7.1,,,,8.9,7.1,11.79,5.4
42.25,7.5,,,,9.53,7.5,12,5.52
42.2501,7.86,,,,9.7,7.86,12,6.71
42.5,8.22,,,,10.32,8.22,12.04,7.71
42.501,8.44,,,,10.73,8.44,11.95,8.12
42.75,7.98,,,,10.54,7.98,10.76,7.92
42.7501,7.31,,,,10.41,7.31,9.14,7.5
43,6.56,,,,10.37,6.56,9.14,7.24
43.01,6.99,,,,10.55,6.99,8.82,7.12
43.25,9.24,,,,11.89,9.24,8.76,7.45
43.2501,10.4,,,,11.74,10.4,8.91,4.53
43.5,11.59,,,,12.75,11.59,8.87,4.47
43.501,11.83,,,,14.02,11.83,8.81,2.46
43.75,11.8,,,,14.24,11.8,8.95,1.39
43.7501,11.94,,,,12.69,11.94,8.99,2.08
44,12.14,,,,11.82,12.14,8.69,2.33
44.01,12.01,,,,11.59,12.01,8.52,2.74
44.25,12.39,,,,10.81,12.39,9.32,2.97
44.2501,12.21,,,,9.55,12.21,10.05,3.36
44.5,11.76,,,,8.81,11.76,10.04,3.64
44.501,11.2,,,,8.58,11.2,10.43,4.18
44.75,10.69,,,,8.36,10.69,10.66,4.47
