time,p:1,q :1,timeStamp
0.505,476211.7822,-901908.3027,
0.506,476074.6788,-898138.6628,
0.507,475354.7389,-893430.1807,
0.508,473732.2847,-888058.7813,
0.509,471013.8444,-882382.3423,
0.51,467154.6335,-876791.5952,
0.511,462260.8819,-871657.87,
0.512,456572.1911,-867284.6423,
0.513,450426.73,-863869.1768,
0.514,444214.2784,-861479.0777,
0.515,438323.6042,-860046.4806,
0.516,433091.251,-859380.2292,
0.517,428758.4565,-859194.004,
0.518,425441.6846,-859146.3153,
0.519,423120.3274,-858886.8109,
0.52,421642.7814,-858102.6441,
0.521,420749.6516,-856558.7954,
0.522,420110.6066,-854127.1767,
0.523,419369.6932,-850800.9549,
0.524,418192.9307,-846692.5583,
0.525,416311.8514,-842016.0193,
0.526,413557.3449,-837056.3535,
0.527,409879.5785,-832130.3188,
0.528,405351.7038,-827543.93,
0.529,400157.2554,-823552.4031,
0.53,394563.2992,-820327.7493,
0.531,388883.2163,-817938.1037,
0.532,383434.2831,-816341.2322,
0.533,378495.7672,-815392.7341,
0.534,374273.0531,-814867.5072,
0.535,370872.382,-814491.3317,
0.536,368289.2786,-813978.1706,
0.537,366411.8601,-813068.1349,
0.538,365038.2282,-811561.0973,
0.539,363905.3103,-809341.6292,
0.54,362725.067,-806392.1843,
0.541,361223.1132,-802793.0703,
0.542,359174.6012,-798709.5316,
0.543,356432.6996,-794367.9497,
0.544,352946.0924,-790024.5587,
0.545,348763.4579,-785930.9759,
0.546,344024.6511,-782301.1643,
0.547,338940.0776,-779284.1454,
0.548,333761.263,-776945.9203,
0.549,328746.7152,-775262.7594,
0.55,324127.6941,-774126.4747,
0.551,320078.405,-773360.6917,
0.552,316694.4408,-772745.716,
0.553,313982.1129,-772048.5116,
0.554,311859.8155,-771053.7203,
0.555,310170.9514,-769591.6104,
0.556,308706.4315,-767559.3453,
0.557,307233.5523,-764932.9309,
0.558,305527.2844,-761768.4895,
0.559,303399.7914,-758192.9487,
0.56,300724.325,-754385.6244,
0.561,297450.486,-750553.3422,
0.562,293609.0448,-746902.5301,
0.563,289305.9416,-743612.0309,
0.564,284706.5184,-740810.1993,
0.565,280012.3005,-738559.1989,
0.566,275433.5699,-736848.3948,
0.567,271161.4498,-735597.4959,
0.568,267343.1924,-734668.7986,
0.569,264063.8527,-733886.7011,
0.57,261336.6093,-733061.7445,
0.571,259102.7979,-732015.9036,
0.572,257241.4187,-730605.7654,
0.573,255586.6331,-728740.5939,
0.574,253950.7486,-726393.0208,
0.575,252149.5273,-723601.1319,
0.576,250026.4247,-720461.8803,
0.577,247472.5873,-717116.9002,
0.578,244440.0762,-713732.7744,
0.579,240946.7354,-710478.4865,
0.58,237072.2674,-707503.0971,
0.581,232946.2464,-704916.579,
0.582,228729.8448,-702776.2617,
0.583,224593.8371,-701080.5362,
0.584,220695.8706,-699770.4764,
0.585,217160.0189,-698738.9728,
0.586,214061.2598,-697845.9964,
0.587,211416.8031,-696937.8348,
0.588,209185.248,-695867.6689,
0.589,207273.4895,-694514.7502,
0.59,205550.2752,-692799.682,
0.591,203864.4641,-690693.8873,
0.592,202065.4641,-688222.1523,
0.593,200023.1013,-685458.0792,
0.594,197644.3139,-682513.2144,
0.595,194884.5464,-679521.4386,
0.596,191752.4708,-676620.7871,
0.597,188307.5726,-673935.159,
0.598,184651.0954,-671558.327,
0.599,180911.6973,-669542.3004,
0.6,177227.8405,-667891.469,
0.601,173724.241,-666563.0479,
0.602,170500.2381,-665474.2609,
0.603,167621.7934,-664514.1051,
0.604,165108.6349,-663558.3664,
0.605,162932.8017,-662486.3017,
0.606,161023.5132,-661196.4634,
0.607,159277.5664,-659619.6026,
0.608,157573.7572,-657727.0186,
0.609,155789.3247,-655533.3664,
0.61,153816.2014,-653093.6825,
0.611,151574.9317,-650495.1619,
0.612,149024.4788,-647844.8941,
0.613,146166.7268,-645255.2726,
0.614,143045.2135,-642829.0547,
0.615,139738.4003,-640646.0497,
0.616,136348.5005,-638753.1514,
0.617,132987.445,-637158.9453,
0.618,129761.9088,-635833.4949,
0.619,126759.3922,-634713.2085,
0.62,124037.1696,-633710.0235,
0.621,121615.492,-632723.5961,
0.622,119475.8365,-631654.8155,
0.623,117564.3126,-630418.8322,
0.624,115799.648,-628955.8933,
0.625,114084.5933,-627238.6114,
0.626,112319.155,-625274.7934,
0.627,110413.8703,-623105.5634,
0.628,108301.37,-620799.1409,
0.629,105944.7468,-618441.1969,
0.63,103341.7043,-616123.1421,
0.631,100524.0389,-613929.94,
0.632,97552.63987,-611929.0625,
0.633,94508.77297,-610162.0145,
0.634,91482.88844,-608639.4856,
0.635,88562.48951,-607340.6779,
0.636,85820.68369,-606216.7996,
0.637,83306.91021,-605198.1642,
0.638,81041.01375,-604203.8722,
0.639,79011.36453,-603152.7386,
0.64,77177.17459,-601973.9944,
0.641,75474.603,-600616.3598,
0.642,73825.7527,-599054.3299,
0.643,72149.30254,-597290.9131,
0.644,70371.33253,-595356.5459,
0.645,68434.91015,-593304.4191,
0.646,66307.20349,-591202.9174,
0.647,63983.24327,-589126.2384,
0.648,61485.91895,-587144.4706,
0.649,58862.30078,-585314.4519,
0.65,56176.86211,-583672.5929,
0.651,53502.57094,-582230.5663,
0.652,50911.07727,-580974.3585,
0.653,48463.31223,-579866.7305,
0.654,46201.72877,-578852.68,
0.655,44145.16735,-577867.1133,
0.656,42286.95988,-576843.6629,
0.657,40596.44359,-575723.4612,
0.658,39023.60216,-574462.7146,
0.659,37506.14634,-573038.1089,
0.66,35978.04095,-571449.386,
0.661,34378.31879,-569718.8192,
0.662,32659.01192,-567887.7321,
0.663,30791.17611,-566010.5899,
0.664,28768.25987,-564147.5011,
0.665,26606.43861,-562356.1552,
0.666,24341.94318,-560684.2735,
0.667,22025.80831,-559163.5544,
0.668,19716.79597,-557805.8776,
0.669,17473.47119,-556602.2099,
0.67,15346.4961,-555524.2953,
0.671,13372.15289,-554528.8372,
0.672,11567.92014,-553563.5625,
0.673,9930.636181,-552574.324,
0.674,8437.428626,-551512.2775,
0.675,7049.220627,-550340.1887,
0.676,5716.288748,-549037.0574,
0.677,4385.089775,-547600.4907,
0.678,3005.425368,-546046.5668,
0.679,1536.991458,-544407.2672,
0.68,-45.53633151,-542725.8742,
0.681,-1749.516395,-541050.9896,
0.682,-3563.796849,-539429.9967,
0.683,-5460.625746,-537902.8389,
0.684,-7399.704307,-536496.93,
0.685,-9333.796637,-535223.8377,
0.686,-11215.11835,-534078.1358,
0.687,-13001.64272,-533038.5244,
0.688,-14662.49464,-532071.0157,
0.689,-16181.74329,-531133.7147,
0.69,-17560.13217,-530182.5289,
0.691,-18814.56838,-529177.0284,
0.692,-19975.49292,-528085.684,
0.693,-21082.53022,-526889.8046,
0.694,-22179.0324,-525585.6881,
0.695,-23306.26455,-524184.7446,
0.696,-24498.00659,-522711.6245,
0.697,-25776.2735,-521200.6459,
0.698,-27148.69114,-519691.0338,
0.699,-28607.83358,-518221.6273,
0.7,-30132.56175,-516825.7641,
0.701,-31692.4489,-515527.0387,
0.702,-33250.85526,-514336.4827,
0.703,-34768.75612,-513251.3356,
0.704,-36211.23252,-512255.7169,
0.705,-37551.97069,-511323.0314,
0.706,-38776.5177,-510419.7295,
0.707,-39883.89402,-509509.8945,
0.708,-40886.39042,-508560.0305,
0.709,-41807.61981,-507543.4166,
0.71,-42679.1236,-506443.4629,
