time,p:1,q :1,timeStamp
0.622,531668.5041,-655998.6379,
0.623,533160.3977,-655159.0006,
0.624,534805.2042,-654087.0241,
0.625,536504.4356,-652758.9409,
0.626,538157.2586,-651186.4627,
0.627,539673.8306,-649414.3785,
0.628,540986.8629,-647513.8465,
0.629,542059.929,-645572.3678,
0.63,542891.5008,-643681.8454,
0.631,543514.285,-641926.3495,
0.632,543990.0604,-640371.2103,
0.633,544400.8059,-639054.8459,
0.634,544837.3803,-637984.3385,
0.635,545387.3052,-637135.2503,
0.636,546123.2836,-636455.6041,
0.637,547093.9525,-635873.4014,
0.638,548318.0315,-635306.6006,
0.639,549782.5608,-634674.182,
0.64,551445.3576,-633906.8097,
0.641,553241.2683,-632955.6966,
0.642,555091.2971,-631798.5439,
0.643,556913.3396,-630441.8427,
0.644,558633.0652,-628919.3211,
0.645,560193.5102,-627286.8347,
0.646,561562.1484,-625614.4601,
0.647,562734.5672,-623976.9026,
0.648,563734.3459,-622443.5239,
0.649,564609.2471,-621069.3149,
0.65,565424.3091,-619887.982,
0.651,566252.8291,-618908.0095,
0.652,567166.4749,-618112.1439,
0.653,568225.8514,-617460.2876,
0.654,569472.755,-616895.3373,
0.655,570925.0958,-616351.126,
0.656,572575.0932,-615761.3689,
0.657,574390.9033,-615068.4106,
0.658,576321.3802,-614230.6219,
0.659,578303.2668,-613227.5035,
0.66,580269.8092,-612061.8789,
0.661,582159.6221,-610758.9562,
0.662,583924.6326,-609362.4587,
0.663,585536.0743,-607928.4051,
0.664,586987.7902,-606517.4176,
0.665,588296.4747,-605186.6071,
0.666,589498.8942,-603982.1181,
0.667,590646.5299,-602933.2998,
0.668,591798.4084,-602049.2345,
0.669,593013.1119,-601318.0245,
0.67,594341.0404,-600708.864,
0.671,595817.9406,-600176.5574,
0.672,597460.5239,-599667.827,
0.673,599264.7017,-599128.5351,
0.674,601206.6057,-598510.8458,
0.675,603246.1926,-597779.3825,
0.676,605332.8939,-596915.5919,
0.677,607412.5172,-595919.7834,
0.678,609434.4579,-594810.6294,
0.679,611358.2626,-593622.2542,
0.68,613158.6946,-592399.3542,
0.681,614828.6703,-591191.0401,
0.682,616379.7291,-590044.2455,
0.683,617840.0377,-588997.5814,
0.684,619250.248,-588076.4378,
0.685,620657.8104,-587289.9475,
0.686,622110.5277,-586630.1698,
0.687,623650.2186,-586073.5463,
0.688,625307.3252,-585584.3827,
0.689,627097.1499,-585119.8491,
0.69,629018.1816,-584635.8,
0.691,631052.6793,-584092.629,
0.692,633169.3816,-583460.3813,
0.693,635327.9342,-582722.4707,
0.694,637484.4089,-581877.5413,
0.695,639597.1599,-580939.2748,
