Time,value
20130206:2107,0
20130206:2207,0
20130206:2307,0
20130207:0007,0
20130207:0107,0
20130207:0207,0
20130207:0307,0
20130207:0407,0
20130207:0507,30280
20130207:0607,149560
20130207:0707,263405
20130207:0807,347710
20130207:0907,401895
20130207:1007,421905
20130207:1107,413900
20130207:1207,378080
20130207:1307,312900
20130207:1407,216620
20130207:1507,94795
20130207:1607,0
20130207:1707,0
20130207:1807,0
20130207:1907,0
20130207:2007,0
20130207:2107,0
20130207:2207,0
20130207:2307,0
20130208:0007,0
20130208:0107,0
20130208:0207,0
20130208:0307,0
20130208:0407,0
20130208:0507,32330
20130208:0607,156585
20130208:0707,265440
20130208:0807,345200
20130208:0907,391925
20130208:1007,409655
20130208:1107,398525
20130208:1207,363685
20130208:1307,300755
20130208:1407,209195
20130208:1507,92705
20130208:1607,0
20130208:1707,0
20130208:1807,0
20130208:1907,0
20130208:2007,0
20130208:2107,0
20130208:2207,0
20130208:2307,0
20130209:0007,0
20130209:0107,0
20130209:0207,0
20130209:0307,0
20130209:0407,0
20130209:0507,34990
20130209:0607,156640
20130209:0707,268380
20130209:0807,348490
20130209:0907,397640
20130209:1007,419695
20130209:1107,411045
20130209:1207,373190
20130209:1307,306035
20130209:1407,211845
20130209:1507,91740
20130209:1607,0
20130209:1707,0
20130209:1807,0
20130209:1907,0
20130209:2007,0
20130209:2107,0
20130209:2207,0
20130209:2307,0
20130210:0007,0
20130210:0107,0
20130210:0207,0
20130210:0307,0
20130210:0407,0
20130210:0507,33310
20130210:0607,155860
20130210:0707,263255
20130210:0807,341910
20130210:0907,386860
20130210:1007,405660
20130210:1107,395480
20130210:1207,354690
20130210:1307,287965
20130210:1407,197460
20130210:1507,84795
20130210:1607,0
20130210:1707,0
20130210:1807,0
20130210:1907,0
20130210:2007,0
20130210:2107,0
20130210:2207,0
20130210:2307,0
20130211:0007,0
20130211:0107,0
20130211:0207,0
20130211:0307,0
20130211:0407,0
20130211:0507,36680
20130211:0607,153915
20130211:0707,262245
20130211:0807,336855
20130211:0907,385160
20130211:1007,402170
20130211:1107,390225
20130211:1207,345285
20130211:1307,287380
20130211:1407,193680
20130211:1507,83400
20130211:1607,0
