Time,value
20130306:1107,250368
20130306:1207,218589
20130306:1307,178554
20130306:1407,116775
20130306:1507,45603
20130306:1607,0
20130306:1707,0
20130306:1807,0
20130306:1907,0
20130306:2007,0
20130306:2107,0
20130306:2207,0
20130306:2307,0
20130307:0007,0
20130307:0107,0
20130307:0207,0
20130307:0307,0
20130307:0407,0
20130307:0507,31053
20130307:0607,104574
20130307:0707,169179
20130307:0807,210084
20130307:0907,236661
20130307:1007,245829
20130307:1107,236103
20130307:1207,208455
20130307:1307,170520
20130307:1407,113733
20130307:1507,47214
20130307:1607,0
20130307:1707,0
20130307:1807,0
20130307:1907,0
20130307:2007,0
20130307:2107,0
20130307:2207,0
20130307:2307,0
20130308:0007,0
20130308:0107,0
20130308:0207,0
20130308:0307,0
20130308:0407,0
20130308:0507,33123
20130308:0607,105447
20130308:0707,165951
20130308:0807,209340
20130308:0907,233151
20130308:1007,243288
20130308:1107,235488
20130308:1207,210210
20130308:1307,171738
20130308:1407,119565
20130308:1507,50484
20130308:1607,0
20130308:1707,0
20130308:1807,0
20130308:1907,0
20130308:2007,0
20130308:2107,0
20130308:2207,0
20130308:2307,0
20130309:0007,0
20130309:0107,0
20130309:0207,0
20130309:0307,0
20130309:0407,0
20130309:0507,33153
20130309:0607,104955
20130309:0707,165852
20130309:0807,212385
20130309:0907,237912
20130309:1007,249066
20130309:1107,242733
20130309:1207,217674
20130309:1307,177150
20130309:1407,119118
20130309:1507,47481
20130309:1607,0
20130309:1707,0
20130309:1807,0
20130309:1907,0
20130309:2007,0
20130309:2107,0
20130309:2207,0
20130309:2307,0
20130310:0007,0
20130310:0107,0
20130310:0207,0
20130310:0307,0
20130310:0407,0
20130310:0507,8454
20130310:0607,61473
20130310:0707,98385
20130310:0807,205521
20130310:0907,233739
20130310:1007,244665
20130310:1107,242022
20130310:1207,219996
20130310:1307,178623
20130310:1407,118506
20130310:1507,49395
20130310:1607,0
20130310:1707,0
20130310:1807,0
20130310:1907,0
20130310:2007,0
20130310:2107,0
20130310:2207,0
20130310:2307,0
20130311:0007,0
20130311:0107,0
20130311:0207,0
20130311:0307,0
20130311:0407,0
20130311:0507,34905
20130311:0607,100470
20130311:0707,163806
20130311:0807,212850
20130311:0907,235917
20130311:1007,246498
20130311:1107,236892
20130311:1207,217713
20130311:1307,169242
20130311:1407,114588
20130311:1507,47178
20130311:1607,0
20130311:1707,0
20130311:1807,0
20130311:1907,0
20130311:2007,0
20130311:2107,0
20130311:2207,0
20130311:2307,0
20130312:0007,0
20130312:0107,0
20130312:0207,0
20130312:0307,0
20130312:0407,0
20130312:0507,35751
20130312:0607,105696
20130312:0707,165075
20130312:0807,207666
20130312:0907,232233
20130312:1007,241167
20130312:1107,231990
20130312:1207,204879
20130312:1307,167631
20130312:1407,115407
20130312:1507,48864
20130312:1607,0
20130312:1707,0
20130312:1807,0
20130312:1907,0
20130312:2007,0
20130312:2107,0
20130312:2207,0
20130312:2307,0
20130313:0007,0
20130313:0107,0
20130313:0207,0
20130313:0307,0
20130313:0407,0
20130313:0507,34407
20130313:0607,109194
20130313:0707,169017
20130313:0807,205602
20130313:0907,231894
20130313:1007,236346
20130313:1107,233826
20130313:1207,128922
20130313:1307,164382
20130313:1407,64377
20130313:1507,39447
20130313:1607,0
20130313:1707,0
20130313:1807,0
20130313:1907,0
20130313:2007,0
20130313:2107,0
20130313:2207,0
20130313:2307,0
20130314:0007,0
20130314:0107,0
20130314:0207,0
20130314:0307,0
20130314:0407,0
20130314:0507,24765
20130314:0607,105258
20130314:0707,164388
20130314:0807,203166
20130314:0907,224142
20130314:1007,232590
20130314:1107,222468
20130314:1207,198921
20130314:1307,170178
20130314:1407,113082
20130314:1507,48291
20130314:1607,0
20130314:1707,0
20130314:1807,0
20130314:1907,0
20130314:2007,0
20130314:2107,0
20130314:2207,0
20130314:2307,0
20130315:0007,0
20130315:0107,0
20130315:0207,0
20130329:1807,0
20130329:1907,0
20130329:2007,0
20130329:2107,0
20130329:2207,0
20130329:2307,0
20130330:0007,0
20130330:0107,0
20130330:0207,0
20130330:0307,0
20130330:0407,0
20130330:0507,37689
20130330:0607,113772
20130330:0707,166389
20130330:0807,205662
20130330:0907,228717
20130330:1007,233931
20130330:1107,223782
20130330:1207,197322
20130330:1307,159747
20130330:1407,108156
20130330:1507,44322
20130330:1607,0
20130330:1707,0
20130330:1807,0
20130330:1907,0
20130330:2007,0
20130330:2107,0
20130330:2207,0
20130330:2307,0
20130331:0007,0
20130331:0107,0
20130331:0207,0
20130331:0307,0
20130331:0407,0
20130331:0507,39324
20130331:0607,106452
20130331:0707,160164
20130331:0807,204027
20130331:0907,222525
20130331:1007,239859
20130331:1107,216921
20130331:1207,207819
20130331:1307,161952
20130331:1407,107613
20130331:1507,42903
20130331:1607,0
20130331:1707,0
20130331:1807,0
20130331:1907,0
20130331:2007,0
20130331:2107,0
20130331:2207,0
20130331:2307,0
20130401:0007,0
20130401:0107,0
20130401:0207,0
20130401:0307,0
20130401:0407,0
20130401:0507,37635
20130401:0607,104214
20130401:0707,160635
20130401:0807,195006
20130401:0907,166896
20130401:1007,205071
20130401:1107,217608
20130401:1207,194502
20130401:1307,165183
20130401:1407,109767
20130401:1507,33474
20130401:1607,0
20130401:1707,0
20130401:1807,0
