TimeStamp,wSpeed.100
121.7501,6.44
122,6.7
122.01,7.1
122.25,8.04
122.2501,8.53
122.5,8.65
122.501,8.73
122.75,8.99
122.7501,9.49
123,9.71
123.01,9.63
123.25,9.16
123.2501,10.09
123.5,10.26
123.501,10.07
123.75,9.9
123.7501,7.87
124,7.86
124.01,7.75
124.25,7.53
124.2501,7.78
124.5,7.9
124.501,7.68
124.75,7.7
124.7501,7.82
125,8.11
125.01,8.61
125.25,9.46
125.2501,9.75
125.5,9.91
125.501,10.23
125.75,10.59
125.7501,10.75
126,10.64
126.01,10.52
126.25,10.36
126.2501,9.9
126.5,9.51
126.501,9.38
126.75,9
126.7501,8.1
127,7.99
127.01,7.95
127.25,7.72
127.2501,7.03
127.5,6.99
127.501,7.06
127.75,7.05
127.7501,7.26
128,7.45
128.01,7.87
128.25,8.94
128.2501,9.41
128.5,9.83
128.501,10.05
128.75,10.06
128.7501,9.94
129,9.56
129.01,9.29
129.25,9.34
129.2501,11.07
129.5,11.03
129.501,10.66
129.75,10.1
129.7501,8.08
130,7.73
130.01,7.03
130.25,6.68
130.2501,6.77
130.5,6.94
130.501,6.66
130.75,6.65
130.7501,6.49
131,6.23
131.01,6.25
131.25,8.03
131.2501,8.99
131.5,9.05
131.501,9.34
131.75,9.34
131.7501,9.25
132,8.96
132.01,8.39
132.25,8.06
132.2501,8.2
132.5,8.1
132.501,7.59
132.75,7.55
132.7501,5.48
133,5.33
133.01,5.45
133.25,5.35
133.2501,5.21
133.5,5.52
133.501,5.65
133.75,5.71
133.7501,5.93
134,6.26
134.01,6.25
134.25,6
134.2501,7.32
134.5,9
134.501,9.69
134.75,10.02
134.7501,9.86
135,9.77
135.01,9.83
135.25,9.67
135.2501,10.37
135.5,10.78
135.501,10.94
135.75,11.13
135.7501,8.45
136,7.8
136.01,7.19
136.25,7.12
136.2501,7.16
136.5,7.48
136.501,7.02
136.75,6.67
136.7501,6.69
137,6.48
137.01,6.13
137.25,8.03
137.2501,9.45
137.5,11.45
137.501,12.77
137.75,12.99
137.7501,12.88
138,12.75
138.01,12.79
138.25,12.23
138.2501,11.55
138.5,11.37
138.501,11.06
138.75,10.44
138.7501,9.3
139,9.04
139.01,8.11
139.25,7.71
139.2501,7.37
139.5,7.22
139.501,7.34
139.75,7.78
139.7501,7.46
140,7.48
140.01,7.58
140.25,8.63
140.2501,9.45
140.5,10.27
140.501,11.13
140.75,11.56
140.7501,11.99
141,11.96
141.01,11.67
141.25,11.53
141.2501,11.42
141.5,11.19
141.501,10.91
141.75,10.5
141.7501,8.84
142,8.66
142.01,8.64
142.25,7.8
142.2501,7.26
142.5,6.7
142.501,6.35
142.75,6.5
142.7501,6.52
143,6.17
143.01,6.11
143.25,7.23
143.2501,8.78
143.5,10.62
143.501,11.21
143.75,11.71
143.7501,11.86
144,12.15
144.01,11.97
144.25,11.46
144.2501,11.23
144.5,11.25
144.501,11.06
144.75,10.12
144.7501,7.87
145,7.72
145.01,7.43
145.25,7.11
145.2501,6.66
145.5,6.75
145.501,6.67
145.75,6.5
145.7501,6.76
146,6.63
146.01,6.49
146.25,7.84
146.2501,9.22
146.5,10.91
146.501,11.59
146.75,11.89
146.7501,11.94
147,11.8
147.01,11.5
147.25,11.62
147.2501,11.42
147.5,11.08
147.501,10.8
147.75,10.42
147.7501,9.46
148,9.68
148.01,9.54
148.25,9.27
148.2501,8.83
148.5,8.52
148.501,8.65
148.75,8.82
