time,p:1,q :1,,,
30.7,-219775.9031,-228023.2348,30.75,0.75,30
30.8,-245326.4069,-228941.9772,30.7501,0.7501,30
30.9,-216293.2539,-229115.7648, , , 
31,-133281.5352,-228223.5272,31,0,31
31.1,-34301.42272,-227605.1976, ,, 
31.2,117854.894,-230381.0725,31.25,0.25,31
31.3,320009.8973,-242861.6857,31.2501,0.2501,31
31.4,492505.4907,-262500.3767, , , 
31.5,561932.1987,-276075.3813,31.5,0.5,31
31.6,511099.6368,-272986.7674,31.501,0.501,31
31.7,396147.6681,-259553.7817,31.75,0.75,31
31.8,296085.9689,-247140.1936,31.7501,0.7501,31
31.9,232553.2732,-239076.8571, , , 
32,201599.3024,-234314.6706,32,0,32
32.1,206658.7356,-232882.7315, ,, 
32.2,175881.0013,-230069.628,32.25,0.25,32
32.3,72537.99425,-223635.9866,32.2501,0.2501,32
32.4,-89054.8797,-218740.9285, , , 
32.5,-241322.9938,-220458.7216,32.5,0.5,32
32.6,-299566.0412,-225535.2504,32.501,0.501,32
32.7,-252882.1033,-227876.4965,32.75,0.75,32
32.8,-32041.08293,-228100.294,32.7501,0.7501,32
32.9,217329.7709,-237547.7178, , , 
33,246135.5944,-238649.1856,33,0,33
33.1,59322.41895,-226073.7945, ,, 
33.2,-204883.5015,-220743.2523,33.25,0.25,33
33.3,-357621.0711,-227609.3877,33.2501,0.2501,33
33.4,-284809.1521,-230153.4836, , , 
33.5,-76062.44202,-229484.649,33.5,0.5,33
33.6,91312.24778,-231863.5391,33.501,0.501,33
33.7,83952.37981,-229134.9502,33.75,0.75,33
33.8,-94480.47661,-222162.8721,33.7501,0.7501,33
33.9,-298703.8396,-224468.187, , , 
34,-390815.1656,-232681.3761,34,0,34
34.1,-347149.7549,-236065.5138, ,, 
34.2,-206786.275,-233994.8053,34.25,0.25,34
34.3,-27432.50918,-232471.0881,34.2501,0.2501,34
34.4,189225.1234,-237755.5016, , , 
34.5,391639.7273,-252888.0586,34.5,0.5,34
34.6,487522.6898,-265196.7347,34.501,0.501,34
34.7,517067.7299,-271046.0758,34.75,0.75,34
34.8,496352.5361,-270594.81,34.7501,0.7501,34
34.9,351274.7008,-254748.9677, , , 
35,150951.7556,-235406.5775,35,0,35
35.1,48220.62656,-226562.6592, ,, 
35.2,95680.24832,-226269.2686,35.25,0.25,35
35.3,217438.1364,-232313.4193,35.2501,0.2501,35
35.4,313775.2973,-240025.9081, , , 
35.5,197780.0604,-232379.0283,35.5,0.5,35
35.6,-142183.0057,-219364.4622,35.501,0.501,35
35.7,-435591.6017,-229878.1978,35.75,0.75,35
35.8,-503463.1732,-243753.5634,35.7501,0.7501,35
35.9,-335568.2486,-241906.3745, , , 
36,-72340.72271,-237505.4353,36,0,36
36.1,100301.4522,-237759.0315, ,, 
36.2,67557.49208,-232141.9593,36.25,0.25,36
36.3,-122018.1456,-224433.8708,36.2501,0.2501,36
36.4,-311881.2874,-227019.8452, , , 
36.5,-391117.5256,-234485.6227,36.5,0.5,36
36.6,-344947.5683,-237187.166,36.501,0.501,36
36.7,-234515.0608,-235381.2366,36.75,0.75,36
36.8,-142032.1558,-232774.1533,36.7501,0.7501,36
36.9,-70874.08677,-230205.4899, , , 
37,1450.13455,-228686.8833,37,0,37
37.1,66050.4275,-228198.5356, ,, 
37.2,-3692.609417,-224264.6834,37.25,0.25,37
37.3,-195625.8277,-221447.088,37.2501,0.2501,37
37.4,-337141.0184,-227156.8101, , , 
37.5,-363948.0307,-233232.913,37.5,0.5,37
37.6,-294648.7992,-234397.2827,37.501,0.501,37
37.7,-152447.9786,-232228.4218,37.75,0.75,37
37.8,-25133.50478,-230957.2842,37.7501,0.7501,37
37.9,-15673.05942,-228081.6386, , , 
38,-46376.09135,-224744.8272,38,0,38
38.1,49880.59877,-225502.8811, ,, 
38.2,258867.1008,-236227.7379,38.25,0.25,38
38.3,412700.574,-251517.9668,38.2501,0.2501,38
38.4,461014.1761,-259365.9033, , , 
38.5,502496.0248,-266408.5541,38.5,0.5,38
