time,p:1,timeStamp
0.43,1940647.73,
0.431,1936622.381,
0.432,1935401.558,
0.433,1937101.546,
0.434,1941447.663,
0.435,1947819.989,
0.436,1955343.506,
0.437,1963009.704,
0.438,1969812.83,
0.439,1974882.487,
0.44,1977595.149,
0.441,1977650.428,
0.442,1975102.873,
0.443,1970346.192,
0.444,1964053.129,
0.445,1957079.998,
0.446,1950349.329,
0.447,1944726.624,
0.448,1940907.618,
0.449,1939330.674,
0.45,1940125.225,
0.451,1943102.225,
0.452,1947786.814,
0.453,1953487.9,
0.454,1959394.548,
0.455,1964685.859,
0.456,1968639.479,
0.457,1970724.491,
0.458,1970666.809,
0.459,1968479.11,
0.46,1964452.231,
0.461,1959110.084,
0.462,1953134.937,
0.463,1947273.614,
0.464,1942237.466,
0.465,1938609.435,
0.466,1936770.315,
0.467,1936853.454,
0.468,1938733.184,
0.469,1942047.7,
0.47,1946252.508,
0.471,1950696.682,
0.472,1954711.303,
0.473,1957698.121,
0.474,1959206.758,
0.475,1958990.526,
0.476,1957034.038,
0.477,1953549.646,
0.478,1948943.927,
0.479,1943759.374,
0.48,1938599.578,
0.481,1934048.158,
0.482,1930592.305,
0.483,1928560.882,
0.484,1928084.915,
0.485,1929085.127,
0.486,1931287.507,
0.487,1934264.184,
0.488,1937493.595,
0.489,1940431.558,
0.49,1942583.593,
0.491,1943568.943,
0.492,1943168.04,
0.493,1941347.567,
0.494,1938260.346,
0.495,1934220.689,
0.496,1929659.04,
0.497,1925062.413,
0.498,1920908.81,
0.499,1917604.413,
0.5,1915431.781,
0.501,1914515.767,
0.502,1914810.755,
0.503,1916110.661,
0.504,1918080.18,
0.505,1920302.15,
0.506,1922334.563,
0.507,1923769.469,
0.508,1924285.96,
0.509,1923690.385,
0.51,1921938.822,
0.511,1919139.241,
0.512,1915533.6,
0.513,1911462.696,
0.514,1907318.84,
0.515,1903492.881,
0.516,1900322.714,
0.517,1898050.016,
0.518,1896790.718,
0.519,1896522.783,
0.52,1897092.465,
0.521,1898237.791,
0.522,1899625.746,
0.523,1900897.919,
0.524,1901718.394,
0.525,1901817.516,
0.526,1901025.853,
0.527,1899294.115,
0.528,1896696.756,
0.529,1893419.16,
0.53,1889730.514,
0.531,1885946.289,
0.532,1882385.525,
0.533,1879328.679,
0.534,1876981.593,
0.535,1875450.161,
0.536,1874728.804,
0.537,1874703.918,
0.538,1875171.485,
0.539,1875866.177,
0.54,1876497.847,
0.541,1876790.398,
0.542,1876517.862,
0.543,1875532.992,
0.544,1873784.779,
0.545,1871322.853,
0.546,1868288.507,
0.547,1864893.848,
0.548,1861392.117,
0.549,1858043.309,
0.55,1855079.725,
0.551,1852676.026,
0.552,1850927.6,
0.553,1849839.922,
0.554,1849330.014,
0.555,1849239.548,
0.556,1849357.555,
0.557,1849449.537,
0.558,1849288.965,
0.559,1848686.969,
0.56,1847516.336,
0.561,1845726.802,
0.562,1843349.819,
0.563,1840492.434,
0.564,1837321.346,
0.565,1834039.485,
0.566,1830858.381,
0.567,1827970.066,
0.568,1825522.234,
0.569,1823599.846,
0.57,1822215.459,
0.571,1821309.33,
0.572,1820759.057,
0.573,1820397.25,
0.574,1820034.703,
0.575,1819485.879,
0.576,1818593.299,
0.577,1817247.633,
0.578,1815400.958,
0.579,1813071.596,
0.58,1810340.095,
0.581,1807337.11,
0.582,1804224.961,
0.583,1801175.468,
0.584,1798347.071,
0.585,1795864.267,
0.586,1793802.026,
0.587,1792177.11,
0.588,1790947.283,
0.589,1790018.32,
0.59,1789257.701,
0.591,1788513.023,
0.592,1787632.585,
0.593,1786485.385,
0.594,1784977.901,
0.595,1783065.518,
0.596,1780757.235,
0.597,1778113.186,
0.598,1775235.472,
0.599,1772253.69,
0.6,1769307.183,
0.601,1766528.895,
0.602,1764025.956,
0.603,1761863.946,
0.604,1760061.623,
0.605,1758589.589,
0.606,1757375.339,
0.607,1756313.876,
0.608,1755282.35,
0.609,1754156.695,
0.61,1752828.027,
0.611,1751216.638,
0.612,1749281.807,
0.613,1747026.224,
0.614,1744494.595,
0.615,1741766.725,
0.616,1738946.155,
0.617,1736145.934,
0.618,1733473.484,
0.619,1731016.581,
0.62,1728832.259,
0.621,1726940.041,
0.622,1725320.28,
0.623,1723917.706,
0.624,1722649.584,
0.625,1721417.294,
0.626,1720119.732,
0.627,1718666.702,
0.628,1716990.556,
0.629,1715054.572,
0.63,1712857.048,
0.631,1710430.689,
0.632,1707837.459,
0.633,1705159.709,
0.634,1702488.826,
0.635,1699912.971,
0.636,1697505.533,
0.637,1695315.82,
0.638,1693363.141,
0.639,1691635,
0.64,1690089.514,
0.641,1688661.659,
0.642,1687272.413,
0.643,1685839.515,
0.644,1684288.407,
0.645,1682561.875,
0.646,1680627.185,
0.647,1678479.81,
0.648,1676143.346,
0.649,1673665.727,
0.65,1671112.317,
0.651,1668556.874,
0.652,1666071.625,
0.653,1663717.785,
0.654,1661537.757,
0.655,1659550.005,
0.656,1657747.201,
0.657,1656097.825,
0.658,1654550.917,
0.659,1653043.271,
0.66,1651508.074,
0.661,1649883.81,
0.662,1648122.25,
0.663,1646194.494,
0.664,1644094.322,
0.665,1641838.465,
0.666,1639463.852,
0.667,1637022.254,
0.668,1634573.103,
0.669,1632175.475,
0.67,1629880.314,
0.671,1627723.916,
0.672,1625723.508,
0.673,1623875.438,
0.674,1622156.177,
0.675,1620525.905,
0.676,1618934.162,
0.677,1617326.772,
0.678,1615653.077,
0.679,1613872.545,
0.68,1611959.866,
0.681,1609907.936,
0.682,1607728.352,
0.683,1605449.435,
0.684,1603112.099,
0.685,1600764.153,
0.686,1598453.839,
0.687,1596223.46,
0.688,1594103.956,
0.689,1592111.105,
0.69,1590243.816,
0.691,1588484.687,
0.692,1586802.704,
0.693,1585157.664,
0.694,1583505.709,
0.695,1581805.202,
0.696,1580022.171,
0.697,1578134.609,
0.698,1576135.09,
0.699,1574031.404,
0.7,1571845.163,
0.701,1569609.062,
0.702,1567361.935,
0.703,1565143.094,
0.704,1562987.565,
0.705,1560921.576,
0.706,1558959.318,
0.707,1557101.374,
0.708,1555334.975,
0.709,1553636.013,
0.71,1551972.507,
0.711,1550309.008,
0.712,1548611.372,
0.713,1546851.232,
0.714,1545009.606,
0.715,1543079.178,
0.716,1541064.984,
0.717,1538983.457,
0.718,1536859.986,
0.719,1534725.36,
0.72,1532611.577,
0.721,1530547.608,
0.722,1528555.648,
0.723,1526648.366,
0.724,1524827.468,
0.725,1523083.742,
0.726,1521398.547,
0.727,1519746.503,
0.728,1518099.01,
0.729,1516428.098,
0.73,1514710.111,
0.731,1512928.726,
0.732,1511076.932,
0.733,1509157.734,
0.734,1507183.522,
0.735,1505174.211,
0.736,1503154.442,
0.737,1501150.221,
0.738,1499185.461,
0.739,1497278.887,
0.74,1495441.697,
0.741,1493676.274,
0.742,1491976.09,
0.743,1490326.79,
0.744,1488708.279,
0.745,1487097.516,
0.746,1485471.633,
0.747,1483810.947,
0.748,1482101.487,
0.749,1480336.7,
0.75,1478518.146,
