time,p:1,q :1,timeStamp
0.322,1840432.45,-2239150.522,40.251
0.323,1825715.308,-2221317.64,40.5
0.324,1803595.137,-2211304.122,40.501
0.325,1777648.872,-2210328.649,40.75
0.326,1751866.143,-2218386.457,40.751
0.327,1730113.139,-2234279.794,41
0.328,1715625.725,-2255805.191,41.01
0.329,1710597.985,-2280068.986,41.25
0.33,1715918.106,-2303886.298,41.251
0.331,1731082.897,-2324208.719,41.5
0.332,1754297.866,-2338523.524,41.501
0.333,1782745.174,-2345172.396,41.75
0.334,1812980.054,-2343549.509,41.751
0.335,1841400.311,-2334155.792,42
0.336,1864725.205,-2318505.707,42.01
0.337,1880420.335,-2298902.469,42.25
0.338,1887013.814,-2278114.609,42.251
0.339,1884264.644,-2258999.004,42.5
0.34,1873164.691,-2244121.446,42.501
0.341,1855778.024,-2235424.925,42.75
0.342,1834942.734,-2233988.245,42.751
0.343,1813877.916,-2239904.635,43
0.344,1795749.912,-2252293.457,43.01
0.345,1783256.033,-2269440.208,43.25
0.346,1778280.218,-2289043.204,43.251
0.347,1781664.307,-2308531.764,43.5
0.348,1793122.284,-2325412.14,43.501
0.349,1811305.346,-2337594.845,43.75
0.35,1834005.549,-2343660.613,43.751
0.351,1858467.829,-2343031.382,44
0.352,1881766.612,-2336026.04,44.01
0.353,1901195.792,-2323796.41,44.25
0.354,1914620.304,-2308154.829,44.251
0.355,1920743.885,-2291318.754,44.5
0.356,1919259.712,-2275608.126,44.501
0.357,1910866.909,-2263136.593,44.75
0.358,1897153.99,-2255537.503,44.751
0.359,1880367.835,-2253759.983,45
0.36,1863101.437,-2257960.312,45.01
0.361,1847943.574,-2267500.589,45.25
0.362,1837137.527,-2281052.267,45.251
0.363,1832293.63,-2296788.322,45.5
0.364,1834192.261,-2312636.528,45.501
0.365,1842701.064,-2326558.917,45.75
0.366,1856814.541,-2336819.912,45.751
0.367,1874807.839,-2342207.992,46
0.368,1894481.682,-2342182.8,46.01
0.369,1913463.92,-2336930.068,46.25
0.37,1929526.586,-2327319.386,46.251
0.371,1940876.241,-2314772.744,46.5
0.372,1946379.987,-2301063.375,46.501
0.373,1945698.879,-2288073.163,46.75
0.374,1939313.412,-2277541.614,46.751
0.375,1928440.314,-2270839.741,47
0.376,1914854.262,-2268798.089,47.01
0.377,1900640.347,-2271610.267,47.25
0.378,1887911.591,-2278822.881,47.251
0.379,1878529.63,-2289411.091,47.5
0.38,1873865.325,-2301927.733,47.501
0.381,1874629.893,-2314704.543,47.75
0.382,1880797.123,-2326077.654,47.751
0.383,1891624.733,-2334607.019,48
0.384,1905769.636,-2339260.964,48.01
0.385,1921479.659,-2339542.362,48.25
0.386,1936834.546,-2335541.201,48.251
0.387,1950003.304,-2327908.408,48.5
0.388,1959483.53,-2317756.297,48.501
0.389,1964291.602,-2306500.573,48.75
0.39,1964079.849,-2295666.142,48.751
0.391,1959167.01,-2286683.25,49
0.392,1950480.073,-2280701.062,49.01
0.393,1939417.3,-2278442.863,49.25
0.394,1927652.436,-2280120.968,49.251
0.395,1916907.32,-2285421.104,49.5
0.396,1908723.676,-2293556.652,49.501
0.397,1904264.181,-2303383.88,49.75
0.398,1904168.352,-2313561.493,49.751
0.399,1908480.907,-2322732.363,50
0.4,1916660.32,-2329702.939,
0.401,1927664.633,-2333596.844,
0.402,1940100.886,-2333962.647,
0.403,1952417.198,-2330822.983,
0.404,1963111.458,-2324660.176,
0.405,1970928.242,-2316341.443,
0.406,197518.415,-2306995.145,
0.407,1975041.288,-2297855.594,
0.408,1971197.248,-2290097.656,
0.409,1964188.235,-2284683.203,
0.41,1955113.041,-2282239.396,
0.411,1945312.806,-2282984.058,
0.412,1936188.299,-2286706.855,
0.413,1929013.771,-2292807.412,
0.414,1924772.003,-2300383.94,
0.415,1924031.785,-2308359.48,
0.416,1926882.97,-2315628.184,
0.417,1932936.258,-2321201.867,
0.418,1941386.176,-2324337.484,
0.419,1951127.415,-2324629.188,
0.42,1960907.883,-2322053.681,
0.421,1969497.416,-2316964.022,
0.422,1975849.493,-2310033.934,
0.423,1979234.818,-2302161.185,
0.424,1979329.836,-2294343.753,
0.425,1976249.581,-2287545.778,
0.426,1970521.897,-2282571.217,
0.427,1963007.845,-2279961.692,
0.428,1954780.089,-2279931.395,
0.429,1946976.333,-2282346.753,
0.43,1940647.73,-2286752.453,
0.431,1936622.381,-2292439.253,
0.432,1935401.558,-2298543.653,
0.433,1937101.546,-2304165.492,
0.434,1941447.663,-2308487.535,
0.435,1947819.989,-2310881.242,
0.436,1955343.506,-2310985.085,
0.437,1963009.704,-2308745.777,
0.438,1969812.83,-2304417.844,
0.439,1974882.487,-2298522.628,
0.44,1977595.149,-2291773.096,
0.441,1977650.428,-2284975.196,
0.442,1975102.873,-2278919.334,
0.443,1970346.192,-2274276.527,
0.444,1964053.129,-2271512.8,
0.445,1957079.998,-2270832.681,
0.446,1950349.329,-2272158.54,
0.447,1944726.624,-2275147.629,
0.448,1940907.618,-2279243.667,
0.449,1939330.674,-2283755.342,
0.45,1940125.225,-2287950.713,
0.451,1943102.225,-2291154.704,
0.452,1947786.814,-2292836.742,
0.453,1953487.9,-2292677.233,
0.454,1959394.548,-2290604.619,
0.455,1964685.859,-2286798.837,
0.456,1968639.479,-2281661.539,
0.457,1970724.491,-2275757.797,
0.458,1970666.809,-2269737.669,
0.459,1968479.11,-2264248.446,
0.46,1964452.231,-2259849.383,
0.461,1959110.084,-2256940.084,
0.462,1953134.937,-2255711.666,
0.463,1947273.614,-2256126.579,
0.464,1942237.466,-2257929.062,
