time,p:1,q :1,,,
37.1,-505028.5856,-287277.2467, ,, 
37.2,-112433.5421,-266216.9067,37.25,0.25,37
37.3,86681.01098,-257533.505,37.2501,0.2501,37
37.4,71238.87259,-245849.3146, , , 
37.5,-40881.21115,-234477.7303,37.5,0.5,37
37.6,-132827.8224,-228833.5539,37.501,0.501,37
37.7,-150217.3579,-226952.1015,37.75,0.75,37
37.8,-116004.4088,-226023.5626,37.7501,0.7501,37
37.9,-106289.8822,-225094.457, , , 
38,-149239.1849,-224167.1335,38,0,38
38.1,-202753.5178,-224659.4237, ,, 
38.2,-246665.2625,-226557.9948,38.25,0.25,38
38.3,-246777.0385,-228166.6022,38.2501,0.2501,38
38.4,-126393.5491,-227607.5222, , , 
38.5,14041.66871,-228496.8677,38.5,0.5,38
38.6,7012.546771,-226156.2769,38.501,0.501,38
38.7,-139656.989,-222307.2198,38.75,0.75,38
38.8,-301514.141,-225566.3311,38.7501,0.7501,38
38.9,-365953.9897,-232163.2378, , , 
39,-313792.75,-234370.7688,39,0,39
39.1,-202686.6195,-232873.145, ,, 
39.2,-65028.30151,-231019.3642,39.25,0.25,39
39.3,50424.38231,-230865.8646,39.2501,0.2501,39
39.4,1843.364508,-226722.6902, , , 
39.5,-192582.9807,-223004.7954,39.5,0.5,39
39.6,-355731.1996,-228984.5387,39.501,0.501,39
39.7,-389533.6103,-235791.6118,39.75,0.75,39
39.8,-314521.6925,-236781.6122,39.7501,0.7501,39
39.9,-204189.1717,-234550.8265, , , 
40,-136517.3311,-231990.9445,40,0,40
40.1,-148853.8168,-229432.0764, ,, 
40.2,-212983.2257,-228431.9508,40.25,0.25,40
40.3,-268807.8452,-229756.9924,40.2501,0.2501,40
40.4,-281144.917,-231475.0148, , , 
40.5,-259980.1145,-232098.5083,40.5,0.5,40
40.6,-233056.7316,-231783.8635,40.501,0.501,40
40.7,-221167.101,-231158.3294,40.75,0.75,40
40.8,-108587.2271,-229384.4539,40.7501,0.7501,40
40.9,-15752.89817,-228912.5465, , , 
41,-101392.0393,-225063.514,41,0,41
41.1,-252123.1813,-225347.4, ,, 
41.2,-328637.5757,-230020.9091,41.25,0.25,41
41.3,-260133.0339,-231098.8484,41.2501,0.2501,41
41.4,-113664.9428,-229896.2548, , , 
41.5,-46910.0931,-228550.9459,41.5,0.5,41
41.6,-120699.6866,-225435.9343,41.501,0.501,41
41.7,-97844.71896,-224105.3338,41.75,0.75,41
41.8,117960.9301,-229248.2649,41.7501,0.7501,41
41.9,259539.3111,-237756.9596, , , 
42,168209.0898,-231010.1197,42,0,42
42.1,-68036.17726,-220333.2763, ,, 
42.2,-300582.9271,-222669.6312,42.25,0.25,42
42.3,-412669.3604,-232703.4402,42.2501,0.2501,42
42.4,-316757.9736,-234569.4041, , , 
42.5,-118079.5978,-232382.4483,42.5,0.5,42
42.6,-26947.24255,-230746.1769,42.501,0.501,42
42.7,63194.31545,-229708.4802,42.75,0.75,42
42.8,269152.1409,-239386.9171,42.7501,0.7501,42
42.9,357187.1999,-247871.2411, , , 
43,193532.3975,-234416.7467,43,0,43
43.1,-83811.07169,-221124.0363, ,, 
43.2,-318002.7052,-224142.0138,43.25,0.25,43
43.3,-378353.0144,-231825.7017,43.2501,0.2501,43
43.4,-215971.893,-231078.2392, , , 
43.5,27100.19898,-232019.0995,43.5,0.5,43
43.6,162729.4415,-235235.2453,43.501,0.501,43
43.7,120960.7557,-230510.5198,43.75,0.75,43
