time,p:1,q :1, ,,
45,554976.5481,-297632.2683,45,0,45
45.1,614674.5587,-302601.9746, ,, 
45.2,683019.8827,-313726.47,45.25,0.25,45
45.3,697595.7361,-318709.1782,45.2501,0.2501,45
45.4,797091.5988,-337771.8808, , , 
45.5,1013806.13,-392784.5753,45.5,0.5,45
45.6,1184404.214,-457252.8359,45.501,0.501,45
45.7,1207918.433,-490040.9553,45.75,0.75,45
45.8,1095361.212,-475531.2284,45.7501,0.7501,45
45.9,700420.0874,-390068.7789, , , 
46,103876.4572,-297533.3237,46,0,46
46.1,-299084.7389,-268633.9489, ,, 
46.2,-375963.2358,-261741.5818,46.25,0.25,46
46.3,-231686.1612,-251711.4906,46.2501,0.2501,46
46.4,-66035.25747,-244186.1518, , , 
46.5,-23960.15341,-237767.3759,46.5,0.5,46
46.6,-103458.1681,-231117.7673,46.501,0.501,46
46.7,-220820.8871,-228825.9166,46.75,0.75,46
46.8,-290359.8524,-230720.5353,46.7501,0.7501,46
46.9,-283503.5688,-232279.873, , , 
47,-232125.9137,-231964.5389,47,0,47
47.1,-187347.1095,-230755.5231, ,, 
47.2,-112814.3941,-228981.1709,47.25,0.25,47
47.3,38570.05073,-229561.0259,47.2501,0.2501,47
47.4,349211.4213,-246583.9413, , , 
47.5,718106.0265,-298842.5389,47.5,0.5,47
47.6,905505.3638,-349148.3224,47.501,0.501,47
47.7,883683.7128,-360981.0715,47.75,0.75,47
47.8,761277.4792,-344185.2966,47.7501,0.7501,47
47.9,675449.5,-327599.1539, , , 
48,675898.1978,-323872.446,48,0,48
48.1,728577.2121,-331247.9451, ,, 
48.2,766381.7911,-339643.8397,48.25,0.25,48
48.3,755434.3874,-339906.3736,48.2501,0.2501,48
48.4,677390.1616,-326830.2475, , , 
48.5,563777.5662,-305374.5137,48.5,0.5,48
48.6,486328.8889,-288357.9122,48.501,0.501,48
48.7,469511.251,-280068.8788,48.75,0.75,48
48.8,488422.3258,-278268.2476,48.7501,0.7501,48
48.9,304676.6861,-257022.3938, , , 
49,-72103.08315,-230889.0266,49,0,49
49.1,-321771.3795,-230381.5172, ,, 
49.2,-322798.6263,-233456.4965,49.25,0.25,49
49.3,-164274.7438,-231686.4498,49.2501,0.2501,49
49.4,-32085.34329,-230668.4399, , , 
49.5,-33124.74951,-227649.228,49.5,0.5,49
